cbsa,cbsa_title,index_value,index_category
27740,"Johnson City, TN",8987.6279,Very Highly Concentrated
28700,"Kingsport-Bristol-Bristol, TN-VA",8236.29,Very Highly Concentrated
48900,"Wilmington, NC",7549.3418,Very Highly Concentrated
28420,"Kennewick-Richland, WA",6817.8735,Very Highly Concentrated
15980,"Cape Coral-Fort Myers, FL",6809.6162,Very Highly Concentrated
13380,"Bellingham, WA",6714.8135,Very Highly Concentrated
41140,"St. Joseph, MO-KS",6338.2266,Very Highly Concentrated
30700,"Lincoln, NE",5996.7114,Very Highly Concentrated
23580,"Gainesville, GA",5745.8467,Very Highly Concentrated
23420,"Fresno, CA",5555.5557,Very Highly Concentrated
44300,"State College, PA",5542.2612,Very Highly Concentrated
16620,"Charleston, WV",5385.8315,Very Highly Concentrated
44060,"Spokane-Spokane Valley, WA",5262.1602,Very Highly Concentrated
34940,"Naples-Immokalee-Marco Island, FL",5201.5103,Very Highly Concentrated
37900,"Peoria, IL",5129.3057,Very Highly Concentrated
28020,"Kalamazoo-Portage, MI",5111.8096,Very Highly Concentrated
14740,"Bremerton-Silverdale, WA",5110.7798,Very Highly Concentrated
46340,"Tyler, TX",5016.8325,Very Highly Concentrated
33260,"Midland, TX",4970.2451,Highly Concentrated
36100,"Ocala, FL",4958.5386,Highly Concentrated
40220,"Roanoke, VA",4901.915,Highly Concentrated
40380,"Rochester, NY",4893.9712,Highly Concentrated
43900,"Spartanburg, SC",4731.8242,Highly Concentrated
16820,"Charlottesville, VA",4711.0366,Highly Concentrated
16540,"Chambersburg-Waynesboro, PA",4669.6782,Highly Concentrated
31180,"Lubbock, TX",4657.5513,Highly Concentrated
47220,"Vineland-Bridgeton, NJ",4653.54,Highly Concentrated
11100,"Amarillo, TX",4582.0513,Highly Concentrated
44100,"Springfield, IL",4544.3408,Highly Concentrated
21340,"El Paso, TX",4529.4805,Highly Concentrated
49180,"Winston-Salem, NC",4479.1079,Highly Concentrated
14260,"Boise City, ID",4379.4639,Highly Concentrated
25420,"Harrisburg-Carlisle, PA",4375.6543,Highly Concentrated
