date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.146832+00:00,010001,SOUTHEAST HEALTH MEDICAL CENTER,SKIPPED,https://www.southeasthealth.org/wp-content/uploads/636004476_Southeast-Health-Medical-Center-_standardcharges.csv,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.146837+00:00,010005,MARSHALL MEDICAL CENTER SOUTH,SKIPPED,https://pricetransparency.blob.core.windows.net/mmc/83-1651180_Marshall-Medical-Center-South_standardcharges.csv?sv=2022-11-02&ss=bfqt&srt=sco&sp=rwdlacupiytfx&se=2099-04-26T22:40:35Z&st=2024-04-11T14:40:35Z&spr=https&sig=V53UDZpYxrVMzk1BKj4Dvm45q%2FAztzKKQCADbpBONqo%3D,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.146842+00:00,010006,NORTH ALABAMA MEDICAL CENTER,SKIPPED,https://www.namccares.com/docs/ahnorthalabamamedicalcenterlibraries/hcl/mrf3q25/272451336_north-alabama-medical-center_standardcharges.csv,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.146847+00:00,010007,MIZELL MEMORIAL HOSPITAL,SKIPPED,https://www.mizellmh.com/docs/630307951_Mizell-Memorial-Hospital%2C-Inc._standardcharges.csv,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.146850+00:00,010008,CRENSHAW COMMUNITY HOSPITAL,SKIPPED,https://crenshawcommunityhospital.com/wp-content/uploads/2025/10/000817582_crenshaw-community-hospital_standardcharges-2.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.146854+00:00,010010,MARSHALL MEDICAL CENTER NORTH,SKIPPED,https://pricetransparency.blob.core.windows.net/mmc/83-1651180_Marshall-Medical-Center-North_standardcharges.csv?sv=2022-11-02&ss=bfqt&srt=sco&sp=rwdlacupiytfx&se=2099-04-26T22:40:35Z&st=2024-04-11T14:40:35Z&spr=https&sig=V53UDZpYxrVMzk1BKj4Dvm45q%2FAztzKKQCADbpBONqo%3D,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.146859+00:00,010011,ASCENSION ST. VINCENT'S EAST,SKIPPED,https://cdn.hs.uab.edu/static/63-0578923_saint-vincents-east_standardcharges.zip,,,Data is 1.2 days old (max age: 30),
2026-01-28T19:31:29.146863+00:00,010016,BAPTIST HEALTH SHELBY HOSPITAL,SKIPPED,https://www.baptisthealthal.com/-/media/files/brookwood-baptist-health/474780023_baptist-health-shelby-hospital_standardcharges.zip?la=en,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.146867+00:00,010018,UAB CALLAHAN EYE HOSPITAL,SKIPPED,https://cdn.hs.uab.edu/static/46-1468253_callahaneyehospital_standardcharges.zip,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.146871+00:00,010019,HELEN KELLER HOSPITAL,SKIPPED,https://www.helenkeller.com//images/price-transparency/472323163_hellen-keller-hospital_standardcharges.csv,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.146875+00:00,010021,DALE MEDICAL CENTER,SKIPPED,https://www.dalemedical.org/docs/636001875_dale-medical-center_standardcharges.csv,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.146879+00:00,010022,ATRIUM HEALTH FLOYD CHEROKEE MEDICAL CENTER,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/11220/825207287_floyd-cherokee-medical-center-llc_standardcharges.csv,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.146883+00:00,010023,BAPTIST MEDICAL CENTER SOUTH,SKIPPED,https://baptistfirst.pt.panaceainc.com/MRFDownload/baptistfirst/bmc-south,,,Data is 1.6 days old (max age: 30),
2026-01-28T19:31:29.146887+00:00,010029,EAST ALABAMA MEDICAL CENTER,SKIPPED,https://eastalabamahealth.org/sites/default/files/financial-service/636000526_EastAlabama_standardcharges.csv,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.146891+00:00,010012,DEKALB REGIONAL MEDICAL CENTER,SUCCESS,https://dekalbregional.org/wp-content/uploads/934333907_Dekalb-Regional-Medical-Center_standardcharges.csv,,,,1.20
2026-01-28T19:31:29.146896+00:00,010033,UAB HOSPITAL,SKIPPED,https://cdn.hs.uab.edu/static/63-6005396_University-of-Alabama-Hospital_standardcharges.zip,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.146899+00:00,010035,CULLMAN REGIONAL MEDICAL CENTER,SKIPPED,https://cullmanregional.com/wp-content/uploads/2025/01/631058174_cullman-regional-medical-center_standardcharges.csv,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.146903+00:00,010036,ANDALUSIA HEALTH,SKIPPED,https://hospitalpricedisclosure.com/Download.aspx?pxi=ynjv1MOGFWujAAuytgs3gQ*-*&f=iFd*_*cEPwhQHJy3lVvHy9uQ*-*,,,Data is 1.2 days old (max age: 30),
2026-01-28T19:31:29.146908+00:00,010038,STRINGFELLOW MEMORIAL HOSPITAL,SKIPPED,https://rmccares.org/wp-content/uploads/636000090_regional-medical-center-anniston_standardcharges.csv,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.146911+00:00,010039,HUNTSVILLE HOSPITAL,SKIPPED,https://www.huntsvillehospital.org/images/pricetransparency/630845288_Huntsville-Hospital_standardcharges.csv,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.146915+00:00,010040,GADSDEN REGIONAL MEDICAL CENTER,SKIPPED,https://www.gadsdenregional.com/Uploads/Public/Documents/charge-masters/charge-masters-2024/631102774_gadsden-regional-medical-center_standardcharges.csv,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.146919+00:00,010044,NORTH MISSISSIPPI MEDICAL CENTER - HAMILTON,SKIPPED,https://apps.nmhs.net/files/pt_mrf/640662976_north-mississippi-medical-center-inc_standardcharges.csv,,,Data is 1.6 days old (max age: 30),
2026-01-28T19:31:29.146923+00:00,010034,COMMUNITY HOSPITAL,SUCCESS,http://www.chal.org/Community_Hospital_Machine_Readable_Standard_Charges_12_2020.csv,,,,0.68
