date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.137443+00:00,040001,SILOAM SPRINGS REGIONAL HOSPITAL,SKIPPED,https://www.northwesthealth.com/Uploads/Public/Documents/charge-masters/charge-masters-2024/263635210_siloam-springs-regional-hospital_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.137450+00:00,040002,JOHNSON REGIONAL MEDICAL CENTER,SKIPPED,https://www.jrmc.com/wp-content/uploads/2025/12/710403278_johnson-regional-medical-center_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.137455+00:00,040007,CHI ST. VINCENT INFIRMARY HEALTH SYSTEM,SKIPPED,https://www.commonspirit.org/content/dam/commonspiritorg/en/chisv/soar/finance/price-transparency/710236917_chi-st-vincent-infirmary_standardcharges.json,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.137459+00:00,040010,MERCY HOSPITAL NORTHWEST ARKANSAS,SKIPPED,https://www.mercy.net/content/dam/mercy/en/web-assets/charge-files/621684203_mercy-hospital-northwest-arkansas_standardcharges.zip,,,Data is 1.6 days old (max age: 30),
2026-01-28T19:31:29.137464+00:00,040011,CHAMBERS MEMORIAL HOSPITAL,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbJECMHDANVILLEAR&type=CDMWithoutLabel&fileType=CSV,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.137468+00:00,040014,UNITY HEALTH WHITE COUNTY MEDICAL CENTER,SKIPPED,https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/61287d21d91746a88db1f48bf287afc5/71-0772737_unity-health-white-county-medical-center_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.137473+00:00,040016,UAMS MEDICAL CENTER,SKIPPED,https://apim.services.craneware.com/api-pricing-transparency/api/public/8179f216930ea52889ace48af58b8713/charges/mrf,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.137476+00:00,040017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,SKIPPED,https://www.narmc.com/images/710787860_north-arkansas-regional-medical-center_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.137480+00:00,040018,BAPTIST HEALTH VAN BUREN,SKIPPED,https://www.baptist-health.com/wp-content/uploads/2024/12/825426152_bh-vb_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.137484+00:00,040019,FORREST CITY MEDICAL CENTER,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbFCMCFORRESTCITYAR&type=CDMWithoutLabel&fileType=CSV,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.137488+00:00,040004,WASHINGTON REGIONAL MEDICAL CENTER,FAILURE,https://washingtonregionalmedicalcenter.pg.revenuemasters.com/cdm-files/710664687_washington-regional-medical-center_standardcharges.xlsx,,PermanentHTTPError,Server returned 404,0.37
2026-01-28T19:31:29.137493+00:00,040020,ST. BERNARDS MEDICAL CENTER,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/8121/710290019_st-bernards-hospital-inc_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.137496+00:00,040022,NORTHWEST MEDICAL CENTER,SKIPPED,https://www.northwesthealth.com/Uploads/Public/Documents/charge-masters/charge-masters-2024/205896848_northwest-medical-center-springdale_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.137501+00:00,040026,CHI ST VINCENT HOSPITAL HOT SPRINGS,SKIPPED,https://www.commonspirit.org/content/dam/commonspiritorg/en/chisv/soar/finance/price-transparency/710236913_chi-st-vincent-hospital-hot-springs_standardcharges.json,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.137505+00:00,040027,BAXTER HEALTH,SKIPPED,https://www.baxterhealth.org/documents/content/710561765_baxter-health_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.137509+00:00,040036,BAPTIST HEALTH MEDICAL CENTER - NORTH LITTLE ROCK,SKIPPED,https://www.baptist-health.com/wp-content/uploads/2024/12/710236856_bhmc-nlr_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.137514+00:00,040041,ST. MARY'S REGIONAL MEDICAL CENTER,SKIPPED,https://www.saintmarysregional.com/docs/ahsaintmaryregionalhealthlibraries/hcl/mrf3q25/621771866_saint-marys-regional-health-system_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.137518+00:00,040047,ST. BERNARDS FIVE RIVER MEDICAL CENTER,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/8177/273970823_five-rivers-medical-center-inc_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
