date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.160035+00:00,070001,YALE-NEW HAVEN HOSPITAL SAINT RAPHAEL CAMPUS,SKIPPED,https://www.ynhh.org/-/media/Files/YNHHS/sc/06-0646652-Yale_New_Haven_Hospital_Standard_Charges011025.ashx,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.160040+00:00,070002,ST FRANCIS HOSPITAL AND MEDICAL CENTER,SKIPPED,https://trinityhealth.pt.panaceainc.com/MRFDownload/trinityhealth/saintfrancishospitalandmedicalcenter,,,Data is 8.0 days old (max age: 30),
2026-01-28T19:31:29.160045+00:00,070004,SHARON HOSPITAL,FAILURE,https://www.nuvancehealth.org/-/media/pdf-files/billing-and-insurance/standard-charge-file/january-2025/815056290_sharon-hospital_standardcharges.csv,,PermanentHTTPError,Server returned 403,0.35
2026-01-28T19:31:29.160050+00:00,070005,WATERBURY HOSPITAL,FAILURE,https://sthpiprd.blob.core.windows.net/machine-readable-files/7914/812181470_prospect-medical-holdings-waterbury_standardcharges.csv,,PermanentHTTPError,Server returned 404,0.43
2026-01-28T19:31:29.160054+00:00,070006,STAMFORD HOSPITAL,SKIPPED,https://www.stamfordhealth.org/-/media/project/healthcare-websites/stamfordhealth/documents/060646917_stamford-hospital_standardcharges.csv,,,Data is 1.5 days old (max age: 30),
2026-01-28T19:31:29.160059+00:00,070007,LAWRENCE + MEMORIAL HOSPITAL,SKIPPED,https://www.lmhospital.org/-/media/Files/YNHHS/sc/060646704-LawrenceMemorialHospitalstandardcharges011025.ashx,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.160063+00:00,070008,JOHNSON MEMORIAL HOSPITAL,SKIPPED,https://trinityhealth.pt.panaceainc.com/MRFDownload/trinityhealth/johnsonmemorialhospital,,,Data is 8.0 days old (max age: 30),
2026-01-28T19:31:29.160067+00:00,070010,BRIDGEPORT HOSPITAL,SKIPPED,https://www.bridgeporthospital.org/-/media/Files/YNHHS/sc/06-0646554-Bridgeport-Hospital_standard_charges-2.ashx,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.160071+00:00,070011,CHARLOTTE HUNGERFORD HOSPITAL,SKIPPED,https://hartfordhealthcare.org/file%20library/price%20data/060646678_charlotte_hungerford_hospital_standardcharges.csv,,,Data is 1.5 days old (max age: 30),
2026-01-28T19:31:29.160074+00:00,070012,ROCKVILLE GENERAL HOSPITAL,FAILURE,https://sthpiprd.blob.core.windows.net/machine-readable-files/7926/812229999_prospect-medical-holdings-rockville_standardcharges.csv,,PermanentHTTPError,Server returned 404,0.49
2026-01-28T19:31:29.160079+00:00,070015,NEW MILFORD HOSPITAL,SKIPPED,https://www.nuvancehealth.org/sites/default/files/PDF%20Files/Billing%20and%20insurance/Standard%20Charge%20File/January2025/060646597_danbury-hospital_standardcharges.csv,,,Data is 1.5 days old (max age: 30),
2026-01-28T19:31:29.160084+00:00,070016,SAINT MARYS HOSPITAL,SKIPPED,https://trinityhealth.pt.panaceainc.com/MRFDownload/trinityhealth/saintmaryshospital,,,Data is 8.0 days old (max age: 30),
2026-01-28T19:31:29.160087+00:00,070017,MIDSTATE MEDICAL CENTER,SKIPPED,https://hartfordhealthcare.org/file%20library/price%20data/060646715_midstate_medical_center_standardcharges.csv,,,Data is 1.5 days old (max age: 30),
2026-01-28T19:31:29.160091+00:00,070018,GREENWICH HOSPITAL,SKIPPED,https://www.greenwichhospital.org/-/media/Files/YNHHS/sc/06-0646659-Greenwich_Hospital_Standard_Charges-1.ashx,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.160095+00:00,070021,WINDHAM HOSPITAL,SKIPPED,https://hartfordhealthcare.org/file%20library/price%20data/060646966_windham_community_memorial_hospital_standardcharges.csv,,,Data is 1.5 days old (max age: 30),
2026-01-28T19:31:29.160099+00:00,070022,YALE-NEW HAVEN HOSPITAL,SKIPPED,https://www.ynhh.org/-/media/Files/YNHHS/sc/06-0646652-Yale_New_Haven_Hospital_Standard_Charges011025.ashx,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.160103+00:00,070024,BACKUS HOSPITAL,SKIPPED,https://hartfordhealthcare.org/file%20library/price%20data/060250773_the_william_w_backus_hospital_standardcharges.csv,,,Data is 1.5 days old (max age: 30),
2026-01-28T19:31:29.160107+00:00,070025,HARTFORD HOSPITAL,SKIPPED,https://hartfordhealthcare.org/file%20library/price%20data/060646668_hartford_hospital_standardcharges.csv,,,Data is 1.5 days old (max age: 30),
2026-01-28T19:31:29.160111+00:00,070027,MANCHESTER MEMORIAL HOSPITAL,FAILURE,https://sthpiprd.blob.core.windows.net/machine-readable-files/7925/812216981_prospect-medical-holdings-manchester_standardcharges.csv,,PermanentHTTPError,Server returned 404,0.45
2026-01-28T19:31:29.160115+00:00,070028,ST VINCENT'S MEDICAL CENTER,SKIPPED,https://hartfordhealthcare.org/file%20library/price%20data/832550272_st_vincents_medical_center_standardcharges.csv,,,Data is 1.5 days old (max age: 30),
2026-01-28T19:31:29.160119+00:00,070029,BRISTOL HOSPITAL,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/7807/060646559_bristol-hospital%2C-inc_standardcharges.csv,,,Data is 8.0 days old (max age: 30),
