date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.155426+00:00,080001,CHRISTIANA HOSPITAL,SKIPPED,https://documents.christianacare.org/Finance/510103684_christianacare_standardcharges.json,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155431+00:00,080003,ST. FRANCIS HOSPITAL,SKIPPED,https://trinityhealth.pt.panaceainc.com/MRFDownload/trinityhealth/stfrancishospital,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155435+00:00,080004,BAYHEALTH HOSPITAL KENT CAMPUS,SKIPPED,https://www.bayhealth.org/-/media/files/patients-and-visitors/billing-financial-aid/price-transparency/2025/510064318bayhealthmedicalcenterkentcampusstandardcharges.json,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155441+00:00,080006,TIDALHEALTH NANTICOKE,SKIPPED,https://www.tidalhealth.org/sites/default/files/2024-12/51-0069243_Tidal-HealthNanticoke-Inc_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155445+00:00,080007,BEEBE MEDICAL CENTER,SKIPPED,https://apim.services.craneware.com/api-pricing-transparency/api/public/bdfcf79238cced1fa24bc49318040614/charges/mrf,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155449+00:00,080009,BAYHEALTH MEDICAL CENTER SUSSEX CAMPUS,SKIPPED,https://www.bayhealth.org/-/media/files/patients-and-visitors/billing-financial-aid/price-transparency/2025/510064318bayhealthhospitalsussexcampusstandardcharges.json,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155453+00:00,083300,"NEMOURS CHILDREN'S HOSPITAL, DELAWARE",SKIPPED,https://www.nemours.org/content/dam/nemours/nemours-org/en/documents/590634433-1467505073_Nemours-Childrens-Hospital_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155457+00:00,084002,ROCKFORD CENTER,SKIPPED,https://uhsfilecdn.eskycity.net/bh/233044421_rockford_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155461+00:00,084004,DOVER BEHAVIORAL HEALTH SYSTEM,SUCCESS,https://uhsfilecdn.eskycity.net/bh/205093162_dover_standardcharges.csv,,,,0.15
2026-01-28T19:31:29.155465+00:00,084003,MEADOW WOOD BEHAVIORAL HEALTH SYSTEM,SUCCESS,https://www.meadowwoodhospital.com/wp-content/uploads/pricing/2025/199/45-1343206_PHC_Meadowwood-LLC_standard%20charges.csv,,,,0.33
2026-01-28T19:31:29.155470+00:00,084005,SUN BEHAVIORAL DELAWARE,SUCCESS,http://sundelaware.com/wp-content/uploads/2025/07/DE-Price-Transparency-Shoppable-Services.xlsx,,,,0.69
2026-01-28T19:31:29.155475+00:00,083026,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MIDDLETOWN,SUCCESS,https://edge.sitecorecloud.io/encompasshee178-encompasshed9db-prodb258-07da/media/Project/EncompassHealth/encompasshealth/Files/1-price-transparency/273463026_Encompass-Health-Rehabilitation-Hospital-of-Middletown_standardcharges.csv,,,,1.91
2026-01-28T19:31:29.155479+00:00,082000,SELECT SPECIALTY HOSPITAL - WILMINGTON,SUCCESS,https://resources.selectmedical.com/pricing-transparency/critical-illness-recovery/51-0382465_Select_Specialty_Hospital-Wilmington_standardcharges.csv,,,,4.47
