date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.158007+00:00,100001,UF HEALTH JACKSONVILLE,SKIPPED,https://ufhealth.pt.panaceainc.com/MRFDownload/ufhealth/uf-jax,,,Data is 8.0 days old (max age: 30),
2026-01-28T19:31:29.158012+00:00,100002,BETHESDA HOSPITAL EAST,SKIPPED,https://baptisthealth.net/-/media/Documents/Patient-Resources/Patient-Pricing/Standard-Charges/592447554_bethesda-hospital_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.158017+00:00,100006,ORLANDO HEALTH REGIONAL MEDICAL CENTER,SKIPPED,https://hospitalpricedisclosure.com/download.aspx?pi=r5C56pFicSGYmflCJ5*__*QXg*-*&f=p22CpYLrWLxCnt4HoK7iZA*-*,,,Data is 0.8 days old (max age: 30),
2026-01-28T19:31:29.158022+00:00,100007,ADVENTHEALTH ORLANDO,SKIPPED,https://www.adventhealth.com/sites/default/files/CDM/2025/590724459_AdventHealth-Orlando_standardcharges.json,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.158026+00:00,100008,BAPTIST HOSPITAL OF MIAMI,SKIPPED,https://baptisthealth.net/-/media/Documents/Patient-Resources/Patient-Pricing/Standard-Charges/590910342_baptist-hospital-of-miami_standardcharges.zip,,,Data is 1.5 days old (max age: 30),
2026-01-28T19:31:29.158031+00:00,100012,LEE MEMORIAL HOSPITAL,SKIPPED,https://www.leehealth.org/machine-readable-files-lh/99-2646504_LEE-MEMORIAL-HOSPITAL_standardcharges.csv.zip,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.158035+00:00,100014,ADVENTHEALTH NEW SMYRNA,SKIPPED,https://www.adventhealth.com/sites/default/files/CDM/2025/473793197_AdventHealth-New-Smyrna-Beach_standardcharges.json,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.158039+00:00,100015,HCA FLORIDA LARGO WEST HOSPITAL,SKIPPED,https://www.hcadam.com/api/public/content/9ee5da97a90841b590bffc73655500cf?download=true,,,Data is 8.1 days old (max age: 30),
2026-01-28T19:31:29.158043+00:00,100017,HALIFAX HEALTH MEDICAL CENTER OF DAYTONA BEACH,SKIPPED,https://halifax.pt.panaceainc.com/MRFDownload/halifax/halifax-medical-center,,,Data is 1.5 days old (max age: 30),
2026-01-28T19:31:29.158046+00:00,100018,NCH BAKER DOWNTOWN,SKIPPED,https://nchmd.org/wp-content/uploads/590694358_naples-community-hospital_standardcharges.json,,,Data is 8.1 days old (max age: 30),
