date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.154730+00:00,110001,HAMILTON MEDICAL CENTER,SKIPPED,https://vitruvianhealth.com/wp-content/uploads/2024/11/hamilton-medical-center_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.154735+00:00,110002,UPSON REGIONAL MEDICAL CENTER,SKIPPED,https://hospitalpricedisclosure.com/download.aspx?ci=S5WFReNwWX5BkPqChnLG0w*-*,,,Data is 0.8 days old (max age: 30),
2026-01-28T19:31:29.154739+00:00,110003,MEMORIAL SATILLA HEALTH,SKIPPED,https://core.secure.ehc.com/src/util/json-detail-price-list/81-4223395_memorial-satilla-health_standardcharges.json,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.154744+00:00,110005,NORTHSIDE HOSPITAL FORSYTH,FAILURE,https://www.northside.com/dist/json/581954432-1376574277_northside-hospital-inc_standardcharges.json,,PermanentHTTPError,Server returned 404,0.29
2026-01-28T19:31:29.154748+00:00,110006,ST MARYS HOSPITAL AND MEDICAL CENTER,SKIPPED,https://trinityhealth.pt.panaceainc.com/MRFDownload/trinityhealth/stmaryshealthcaresystem,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.154752+00:00,110008,NORTHSIDE HOSPITAL - CHEROKEE,FAILURE,https://www.northside.com/dist/json/581954432-1225050396_northside-hospital-inc_standardcharges.json,,PermanentHTTPError,Server returned 404,0.35
2026-01-28T19:31:29.154757+00:00,110010,EMORY UNIVERSITY HOSPITAL,SKIPPED,https://www.emoryhealthcare.org/-/media/Project/EH/Emory/ui/pricing-transparency/csv/2025/oct/580566256_emory-university-hospital_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.154762+00:00,110011,TANNER MEDICAL CENTER - CARROLLTON,SKIPPED,https://www.tanner.org/upload/docs/PDFs/FinancialAssistance/581790149_Tanner-Medical-Center-Carrollton_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.154765+00:00,110016,WELLSTAR WEST GEORGIA MEDICAL CENTER,SKIPPED,https://www.wellstar.org/-/media/project/wellstar/org/documents/august-2025-price-transparency-standard-charges/20-5497506_wellstar-west-georgia-medical-center_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.154770+00:00,110023,ADVENTHEALTH GORDON,SKIPPED,https://www.adventhealth.com/sites/default/files/CDM/2025/581425000_AdventHealth-Gordon_standardcharges.json,,,Data is 8.2 days old (max age: 30),
