date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.148158+00:00,120001,QUEENS MEDICAL CENTER,SKIPPED,https://www.queens.org/wp-content/uploads/990073524_queens-medical-center_standardcharges-2.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.148164+00:00,120004,THE QUEENS MEDICAL CENTER WAHIAWA,SKIPPED,https://www.queens.org/wp-content/uploads/990073524_queens-medical-center-wahiawa-general-hospital_standardcharges-1.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.148169+00:00,120005,HILO BENIOFF MEDICAL CENTER,SKIPPED,https://www.hbmc.org/wp-content/uploads/2024/07/94-3282424_hilo_medical-center_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.148173+00:00,120014,WILCOX MEMORIAL HOSPITAL,SKIPPED,https://www.hawaiipacifichealth.org/standardcharges/990074365_Wilcox-Medical-Center_standardcharges.json,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.148178+00:00,120022,STRAUB BENIOFF MEDICAL CENTER,SKIPPED,https://www.hawaiipacifichealth.org/standardcharges/912151670_Straub-Benioff-Medical-Center_standardcharges.json,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.148182+00:00,120026,PALI MOMI MEDICAL CENTER,SKIPPED,https://www.hawaiipacifichealth.org/standardcharges/990274038_Pali-Momi-Medical-Center_standardcharges.json,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.148186+00:00,120027,THE QUEEN'S MEDICAL CENTER - WEST OAHU,SKIPPED,https://www.queens.org/wp-content/uploads/990073524_queens-medical-center-west-oahu_standardcharges-2.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.148190+00:00,121305,LANAI COMMUNITY HOSPITAL,SKIPPED,https://res.cloudinary.com/dpmykpsih/raw/upload/maui-health-site-309/media/r/1804f4bca2e04b1e81befcb4375e7864/811559375-lanaicommunityhospital-standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.148194+00:00,121306,SAMUEL MAHELONA MEMORIAL HOSPITAL,SKIPPED,https://www.hhsc.org/standardcharge/smmh/99-0262217_Samuel-Mahelona-Memorial-Hospital_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.148198+00:00,121307,HALE HO'OLA HAMAKUA,SKIPPED,https://www.halehoolahamakua.org/wp-content/uploads/sites/9/2024/07/99-0262226_Hale-Ho'ala%20Hamakua_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.148202+00:00,121308,KULA HOSPITAL,SKIPPED,https://res.cloudinary.com/dpmykpsih/raw/upload/maui-health-site-309/media/r/0baf0545cbc949bbb068fdca815b804a/811559375-kulahospital-standardcharges-08062025.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.148207+00:00,122001,LEAHI HOSPITAL,SKIPPED,https://www.hhsc.org/standardcharge/leahi/99-0293974_Leahi-Hospital_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.148210+00:00,123025,REHABILITATION HOSPITAL OF THE PACIFIC,SKIPPED,https://www.rehabhospital.org/sites/default/files/documents/510160156_rehab-hospital-of-the-pacific_standardcharges-1_0.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.148214+00:00,123301,SHRINERS HOSPITAL FOR CHILDREN,SKIPPED,https://apim.services.craneware.com/api-pricing-transparency/api/public/b30d36f52101153d5f1bc9b69f73ddb9/charges/mrf,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.148218+00:00,124001,THE QUEEN’S MEDICAL CENTER – KAHI MOHALA,SKIPPED,https://www.queens.org/wp-content/uploads/990073524_queens-medical-center-kahi-mohala_standardcharges-2.csv,,,Data is 1.8 days old (max age: 30),
