date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.146376+00:00,160001,UNITYPOINT HEALTH MARSHALLTOWN,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/7948/815034179_unitypoint-health-marshalltown_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.146381+00:00,160013,UNITYPOINT HEALTH TRINITY MUSCATINE,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/7958/420680337_unity-healthcare_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.146385+00:00,160030,MARY GREELEY MEDICAL CENTER,SKIPPED,https://mgmc.pt.panaceainc.com/MRFDownload/marygreeley/marygreeley,,,Data is 1.6 days old (max age: 30),
2026-01-28T19:31:29.146390+00:00,160032,MERCYONE NEWTON MEDICAL CENTER,SKIPPED,https://hpt.trinity-health.org/421470935_mercy-medical-center-newton_standardcharges.zip,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.146395+00:00,160033,GENESIS MEDICAL CENTER-DAVENPORT,SKIPPED,https://trinityhealth.pt.panaceainc.com/MRFDownload/trinityhealth/genesishealth-east,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.146399+00:00,160040,MERCYONE CEDAR FALLS MEDICAL CENTER,SKIPPED,https://hpt.trinity-health.org/420758901_sartori-memorial-hospital-inc_standardcharges.zip,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.146403+00:00,160045,UNITYPOINT HEALTH ST. LUKE'S HOSPITAL,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/7955/420504780_st-luke%27s-methodist-hospital_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.146407+00:00,160047,METHODIST JENNIE EDMUNDSON,SKIPPED,https://bestcare.org/sites/default/files/2025-10/420680355_Jennie-Edmundson-Memorial-Hospital_standardcharges.zip,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.146411+00:00,160057,SOUTHEAST IOWA REGIONAL MEDICAL CENTER,SKIPPED,https://greatriver.pt.panaceainc.com/MRFDownload/greatriver/great-river-health,,,Data is 1.6 days old (max age: 30),
2026-01-28T19:31:29.146415+00:00,160058,UNIVERSITY OF IOWA HOSPITAL & CLINICS,FAILURE,https://www.healthcare.uiowa.edu/marcom/uihc/billing/426004813_state-university-of-iowa_standardcharges.json.gz,,ValueError,Failed to parse JSON from https://www.healthcare.uiowa.edu/marcom/uihc/billing/426004813_state-university-of-iowa_standardcharges.json.gz: Expecting value: line 1 column 1 (char 0),34.86
2026-01-28T19:31:29.146421+00:00,160064,MERCYONE NORTH IOWA,SKIPPED,https://hpt.trinity-health.org/311373080_mercy-health-services-iowa-corp_standardcharges.zip,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.146425+00:00,160067,MERCYONE WATERLOO MEDICAL CENTER,SKIPPED,https://hpt.trinity-health.org/421264647_covenant-medical-center-inc_standardcharges.zip,,,Data is 1.6 days old (max age: 30),
2026-01-28T19:31:29.146429+00:00,160069,MERCYONE DUBUQUE,SKIPPED,https://hpt.trinity-health.org/421437483_mercy-medical-center-dubuque_standardcharges.zip,,,Data is 1.8 days old (max age: 30),
