date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.152277+00:00,130003,ST. JOSEPH REGIONAL MEDICAL CENTER,SKIPPED,https://hospitalpricedisclosure.com/Download.aspx?pi=HEe7rvjeIIxdn6QxdPT9Hg*-*,,,Data is 0.8 days old (max age: 30),
2026-01-28T19:31:29.152282+00:00,130006,ST. LUKE'S BOISE MEDICAL CENTER,SKIPPED,https://stlukesonline.file.core.windows.net/stlukesonline-files/820161600-1770586794_St-Lukes-Regional-Medical-Center-LTD_standardcharges.csv?sv=2022-11-02&ss=f&srt=o&sp=rl&se=2026-07-12T19:20:00Z&st=2024-07-12T19:20:00Z&sip=0.0.0.0-255.255.255.255&spr=https&sig=FGacPqS12iM%2B02qiSmRIfavnfLx8l7R64K%2B5yDAzofo%3D,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.152288+00:00,130025,MADISON MEMORIAL HOSPITAL,SKIPPED,https://apim.services.craneware.com/api-pricing-transparency/api/public/d21636a85e43647a836d7449da69027c/charges/mrf,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.152292+00:00,130018,EASTERN IDAHO REGIONAL MEDICAL CENTER,SKIPPED,https://www.hcadam.com/api/public/content/b9cb52db87014bbb931bed44b4477432?download=true,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.152297+00:00,130063,TREASURE VALLEY HOSPITAL,SKIPPED,https://cdn.sanity.io/files/rlbzokv7/production/063a7fda12ee958c90577c83cec3c34abe54407c.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.152301+00:00,130049,KOOTENAI HEALTH,SKIPPED,https://www.kh.org/wp-content/uploads/2025/01/820380784_kootenai-health_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.152304+00:00,130066,NORTHWEST SPECIALTY HOSPITAL,SKIPPED,https://apim.services.craneware.com/api-pricing-transparency/api/public/33488c24df4126089b1f834cd2834046/charges/mrf,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.152308+00:00,130071,ST. LUKE'S NAMPA MEDICAL CENTER,SKIPPED,https://stlukesonline.file.core.windows.net/stlukesonline-files/821162805_St-Lukes-Nampa-Medical-Center-LTD_standardcharges.csv?sv=2022-11-02&ss=f&srt=o&sp=rl&se=2026-07-12T19:20:00Z&st=2024-07-12T19:20:00Z&sip=0.0.0.0-255.255.255.255&spr=https&sig=FGacPqS12iM%2B02qiSmRIfavnfLx8l7R64K%2B5yDAzofo%3D,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.152314+00:00,130073,GROVE CREEK MEDICAL CENTER,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbGCMCBLACKFOOTID&type=CDMWithoutLabel&fileType=CSV,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.152318+00:00,130074,IDAHO FALLS COMMUNITY HOSPITAL,SKIPPED,https://apim.services.craneware.com/api-pricing-transparency/api/public/a53e6fb0bce8c74027ff7983218bbdec/charges/mrf,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.152323+00:00,131304,POWER COUNTY HOSPITAL DISTRICT,SKIPPED,https://www.pchd.net/wp-content/uploads/2024/08/826000431_power-county-hospital-district-_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.152327+00:00,131301,BOUNDARY COMMUNITY HOSPITAL,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbBCHBONNERSFERRYID&type=CDMWithoutLabel&fileType=CSV,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.152331+00:00,131305,STEELE MEMORIAL MEDICAL CENTER,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbSteeleMemorial&type=CDMWithoutLabel&fileType=CSV,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.152335+00:00,131307,WEISER MEMORIAL HOSPITAL,SKIPPED,https://www.weisermemorialhospital.org/files/finance/826001139_weiser-memorial-hospital_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.152339+00:00,131309,CARIBOU MEDICAL CENTER,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbCMHSODASPRINGSID&type=CDMWithoutLabel&fileType=CSV,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.152343+00:00,131310,ST. LUKE'S JEROME MEDICAL CENTER,SKIPPED,https://stlukesonline.file.core.windows.net/stlukesonline-files/562570686-1366874877_St-Lukes-Magic-Valley-Regional-Medical-Center-LTD_standardcharges.csv?sv=2022-11-02&ss=f&srt=o&sp=rl&se=2026-07-12T19:20:00Z&st=2024-07-12T19:20:00Z&sip=0.0.0.0-255.255.255.255&spr=https&sig=FGacPqS12iM%2B02qiSmRIfavnfLx8l7R64K%2B5yDAzofo%3D,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.152348+00:00,131311,ST. LUKE'S ELMORE MEDICAL CENTER,SKIPPED,https://stlukesonline.file.core.windows.net/stlukesonline-files/820161600-1699013565_St-Lukes-Regional-Medical-Center-LTD_standardcharges.csv?sv=2022-11-02&ss=f&srt=o&sp=rl&se=2026-07-12T19:20:00Z&st=2024-07-12T19:20:00Z&sip=0.0.0.0-255.255.255.255&spr=https&sig=FGacPqS12iM%2B02qiSmRIfavnfLx8l7R64K%2B5yDAzofo%3D,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.152353+00:00,131313,TETON VALLEY HEALTH,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbTetonValley&type=CDMWithoutLabel&fileType=CSV,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.152357+00:00,131314,SHOSHONE MEDICAL CENTER,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/7852/826003924-1043215437_shoshone-medical-center_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
