date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.152499+00:00,140002,ALTON MEMORIAL HOSPITAL,SKIPPED,https://www.bjc.org/hpt/1/370661172_AltonMemorialHospital_standardcharges.json,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.152504+00:00,140008,GOTTLEB MEMORIAL HOSPITAL,SKIPPED,https://trinityhealth.pt.panaceainc.com/MRFDownload/trinityhealth/gottliebmemorialhospital,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.152510+00:00,140001,GRAHAM HOSPITAL,FAILURE,https://www.grahamhealthsystem.org/docs/default-source/financial-assistance/hospital-chargemaster-2023.xlsx?sfvrsn=8e5ecc27_1/%20Hospital-Chargemaster-2023,,PermanentHTTPError,Server returned 404,2.20
2026-01-28T19:31:29.152515+00:00,140012,OSF SAINT KATHARINE MEDICAL CENTER,SKIPPED,https://osf-p-001.sitecorecontenthub.cloud/api/public/content/361000540_OSF-Saint-Katharine-Medical-Center_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.152519+00:00,140013,CARLE HEALTH PROCTOR HOSPITAL,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/11407/370681540_proctor-hospital_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.152523+00:00,140015,BLESSING HOSPITAL,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/7854/370661183_blessing-hospital_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.152527+00:00,140029,RUSH COPLEY MEDICAL CENTER,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbCMHAURORAIL&type=CDMWithoutLabel&fileType=CSV,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.152532+00:00,140030,ADVOCATE SHERMAN HOSPITAL,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/11269/362167920_advocate-sherman-hospital_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.152536+00:00,140032,HSHS ST ANTHONYS MEMORIAL HOSPITAL,SKIPPED,https://www.hshs.org/getmedia/a0daebfc-e796-4d98-889f-453ffd42cf7f/370661233_ST-ANTHONY-S-MEMORIAL-HOSPITAL_STANDARDCHARGES.zip,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.152541+00:00,140034,SSM HEALTH ST. MARY'S HOSPITAL - CENTRALIA,SKIPPED,https://hospitalpricedisclosure.com/download.aspx?pi=u5PGTTi*_*V1G7japKfMq*_*Gg*-*&f=p22CpYLrWLxCnt4HoK7iZA*-*,,,Data is 0.8 days old (max age: 30),
2026-01-28T19:31:29.152545+00:00,140043,CGH MEDICAL CENTER,SKIPPED,https://pricetransparency-cdn.azureedge.net/cgh/36-2474218_CGH-Medical-Center_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.152549+00:00,070124,MC DONOUGH DISTRICT HOSPITAL,SUCCESS,https://www.mdh.org/documents/content/McDonough-District-Hospital.NPI-1669420766)-CDM-Pricing-Transparency-070124-update.xlsx,,,,4.41
