date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.144011+00:00,005054,RIVERVIEW HEALTH NOBLESVILLE HOSPITAL,SKIPPED,https://www.riverview.org/sites/default/files/2025-09/25-005054-1_riverview-health_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.144017+00:00,150002,METHODIST HOSPITALS NORTHLAKE CAMPUS,SKIPPED,https://methodisthospitals.org/wp-content/uploads/2025/02/35-0868133_The-Methodist-Hospitals-Inc_standardcharges.csv,,,Data is 1.6 days old (max age: 30),
2026-01-28T19:31:29.144021+00:00,150005,HENDRICKS REGIONAL HEALTH,SKIPPED,https://www.hendricks.org/upload/docs/Billing/351361243_hendricks-regional-health_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.144026+00:00,150001,JOHNSON MEMORIAL HOSPITAL,FAILURE,https://apps.para-hcfs.com/PTT/FinalLinks/Johnson_V3.aspx,,ValueError,Server returned HTML instead of CSV (Content-Type: text/html; charset=utf-8),4.31
2026-01-28T19:31:29.144030+00:00,150010,ASCENSION ST. VINCENT KOKOMO,SKIPPED,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/in-csv/350992717_st-joseph-hospital-and-health-center-inc_standardcharges.zip,,,Data is 1.6 days old (max age: 30),
2026-01-28T19:31:29.144035+00:00,150011,MARION GENERAL HOSPITAL,SKIPPED,https://pricetransparency-cdn.azureedge.net/marion/35-0868130_Marion-General-Hospital_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.144040+00:00,150012,MISHAWAKA MEDICAL CENTER,SKIPPED,https://trinityhealth.pt.panaceainc.com/MRFDownload/trinityhealth/mishawakamedicalcenter,,,Data is 1.6 days old (max age: 30),
2026-01-28T19:31:29.144044+00:00,150017,LUTHERAN HOSPITAL,SKIPPED,https://www.lutheranhospital.com/Uploads/Public/Documents/charge-masters/charge-masters-2024/351963748_lutheran-hospital_standardcharges.csv,,,Data is 1.6 days old (max age: 30),
2026-01-28T19:31:29.144048+00:00,150018,ELKHART GENERAL HOSPITAL,SKIPPED,https://www.beaconhealthsystem.org/wp-content/uploads/2025/08/350877574_Elkhart-General-Hospital_standardcharges.xlsx,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.144053+00:00,150023,UNION HOSPITAL,SKIPPED,https://www.union.health/350876396_Union-Hospital-Terre-Haute_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.144057+00:00,150026,GOSHEN HOSPITAL,SKIPPED,https://pricetransparency.blob.core.windows.net/goshen/35-1974765_Goshen-Health-Hospital_standardcharges.csv?sv=2022-11-02&ss=bfqt&srt=sco&sp=rwdlacupiytfx&se=2099-04-26T22:40:35Z&st=2024-04-11T14:40:35Z&spr=https&sig=V53UDZpYxrVMzk1BKj4Dvm45q%2FAztzKKQCADbpBONqo%3D,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.144062+00:00,150030,HENRY COUNTY MEMORIAL HOSPITAL,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbHenryCounty&type=CDMWithoutLabel&fileType=CSV,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.144066+00:00,150034,ST MARY MEDICAL CENTER,SKIPPED,https://www.powershealth.org/-/media/files/pricetransparency/352007327_st-mary-medical-center_standardcharges.ashx,,,Data is 1.6 days old (max age: 30),
2026-01-28T19:31:29.144070+00:00,150037,HANCOCK REGIONAL HOSPITAL,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbHancockRegional&type=CDMWithoutLabel&fileType=CSV,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.144074+00:00,150042,GOOD SAMARITAN HOSPITAL,SKIPPED,https://www.gshvin.org/documents/content/356001532_GoodSamaritan_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.144078+00:00,150044,BAPTIST HEALTH FLOYD,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbFloydMemNewAlbanyIN&type=CDMWithoutLabel&fileType=CSV,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.144082+00:00,150008,ST CATHERINE HOSPITAL,SUCCESS,https://www.powershealth.org/-/media/files/pricetransparency/351738708_st-catherine-hospital_standardcharges.ashx,,,,20.02
2026-01-28T19:31:29.144086+00:00,150046,TERRE HAUTE REGIONAL HOSPITAL,SKIPPED,https://core.secure.ehc.com/src/util/json-detail-price-list/35-1461805_terre-haute-regional-hospital_standardcharges.json,,,Data is 1.6 days old (max age: 30),
2026-01-28T19:31:29.144091+00:00,150047,LUTHERAN DOWNTOWN HOSPITAL,SKIPPED,https://www.lutherandowntownhospital.com/Uploads/Public/Documents/charge-masters/charge-masters-2024/510382045_lutheran-downtown-hospital_standardcharges.csv,,,Data is 1.6 days old (max age: 30),
2026-01-28T19:31:29.144095+00:00,150048,REID HOSPITAL,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/7847/350892672_reid-health_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
