date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.141635+00:00,121125,SUMMIT SURGICAL,SKIPPED,https://summitks.com/wp-content/uploads/203283620_summit-surgical-llc_standardcharges-121125.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.141640+00:00,170006,MERCY HOSPITAL PITTSBURG,SKIPPED,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/ks-csv/480543778_ascension-via-christi-hospital-pittsburg-inc_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.141645+00:00,170009,SAINT JOHN HOSPITAL,SKIPPED,https://stjohnleavenworth.com/wp-content/uploads/2024/12/462171791_SaintJohnHospital_standardcharges.json,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.141649+00:00,170012,SALINA REGIONAL HEALTH CENTER,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbSalinaRegionalKS&type=CDMWithoutLabel&fileType=CSV,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.141654+00:00,170013,HAYS MEDICAL CENTER,SKIPPED,https://haysmed.s3.us-west-2.amazonaws.com/cms-price/480559088-Haysmed-standardcharges_010125.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.141657+00:00,170014,ADVENTHEALTH OTTAWA,SKIPPED,https://www.adventhealth.com/sites/default/files/CDM/2025/830976641_AdventHealth-Ottawa_standardcharges.json,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.141661+00:00,170016,THE UNIVERSITY OF KANSAS HEALTH SYSTEM ST. FRANCIS CAMPUS,SKIPPED,https://coc.ardenthealthservices.com/ukhs/82-2034009_The-University-of-Kansas-Health-System-St-Francis-Campus_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.141666+00:00,170020,HUTCHINSON REGIONAL MEDICAL CENTER INC,SKIPPED,https://machine-readable-files.com/hutchinson-regional-medical-center/480774005_hutchinson-regional-medical-center_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.141670+00:00,170023,COMMONSPIRIT ST. CATHERINE HOSPITAL - GARDEN CITY,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/8277/480543721_commonspirit-health-st-catherine-garden-city_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.141674+00:00,170027,PRATT REGIONAL MEDICAL CENTER,SKIPPED,https://secure.claraprice.net/price-transparency/BILX-1758056023835/machine-readable/481058737_pratt-regional-medical-center_standardcharges.json,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.141678+00:00,170040,"UNIVERSITY OF KANSAS HOSPITAL MAIN CAMPUS, BELL HOSPITAL TOWER",SKIPPED,https://ukhspricetransparency.blob.core.windows.net/ukhs-price-transparency/48-1201402_TheUniversityOfKansasHealthSystemKansasCityCampus_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.141683+00:00,170068,SOUTHWEST MEDICAL CENTER,FAILURE,https://southwestmedicalcenter.pg.quadax.revenuemasters.com/cdm-files/480684878_southwest-medical-center_standardcharges.csv,,PermanentHTTPError,Server returned 404,0.29
2026-01-28T19:31:29.141687+00:00,170074,STORMONT VAIL HEALTH FLINT HILLS CAMPUS,SKIPPED,https://www.stormontvail.org/wp-content/uploads/883089376_STORMONTVAIL_STANDARDCHARGES.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.141692+00:00,170049,OLATHE HOSPITAL,FAILURE,https://www.olathehealth.org/wp-content/uploads/2025/04/48-0577664_Olathe-Medical-Center-Inc_standardcharges.csv,,ValueError,Server returned HTML instead of CSV (Content-Type: text/html; charset=utf-8),0.55
2026-01-28T19:31:29.141696+00:00,170075,MERCY HOSPITAL,SKIPPED,https://www.mercyh.org/wp-content/uploads/2024/07/48-0663711_Mercy-Hospital-Inc_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.141700+00:00,170086,STORMONT VAIL HEALTH TOPEKA CAMPUS,SKIPPED,https://www.stormontvail.org/wp-content/uploads/480543789_STORMONTVAIL_STANDARDCHARGES.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.141704+00:00,170103,NEWTON MEDICAL CENTER,SKIPPED,https://secure.claraprice.net/price-transparency/XBZP-1715710889221/machine-readable/481040759_nmc-health_standardcharges.json,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.141709+00:00,170104,ADVENTHEALTH SHAWNEE MISSION,SKIPPED,https://www.adventhealth.com/sites/default/files/CDM/2025/480637331_AdventHealth-Shawnee-Mission_standardcharges.json,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.141712+00:00,170110,COMMONSPIRIT BOB WILSON MEMORIAL HOSPITAL,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/8265/480543721_commonspirit-health-bob-wilson_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.141717+00:00,170120,LABETTE HEALTH,SKIPPED,https://labettehealth.pt.panaceainc.com/MRFDownload/labettehealth/labettehealth,,,Data is 1.6 days old (max age: 30),
2026-01-28T19:31:29.141720+00:00,170122,ASCENSION VIA CHRISTI ST. FRANCIS,SKIPPED,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/ks-csv/481172106_ascension-via-christi-hospitals-wichita-inc_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.141724+00:00,170123,WESLEY MEDICAL CENTER,SKIPPED,https://www.hcadam.com/api/public/content/8cf802df1ca74002bc905804324caf05?download=true,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.141728+00:00,170109,PAOLA HOSPITAL,FAILURE,https://www.olathehealth.org/wp-content/uploads/2025/04/48-1155548_Miami-County-Medical-Center-Inc_standardcharges.csv,,ValueError,Server returned HTML instead of CSV (Content-Type: text/html; charset=utf-8),0.49
2026-01-28T19:31:29.141733+00:00,170142,ASCENSION VIA CHRISTI HOSPITAL IN MANHATTAN,SKIPPED,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/ks-csv/481186704_ascension-via-christi-hospital-manhattan-inc_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.141737+00:00,170137,LAWRENCE MEMORIAL HOSPITAL,FAILURE,https://www.lmh.org/app/files/public/6bdda36c-7b12-4f68-8cb8-0df37d3da1e4/48-6033703_The-Lawrence-Memorial-Hospital_standardcharges.csv,,PermanentHTTPError,Server returned 403,0.32
2026-01-28T19:31:29.141742+00:00,170146,PROVIDENCE MEDICAL CENTER,SKIPPED,https://providencekc.com/wp-content/uploads/2024/12/462162669_ProvidenceMedicalCenter_standardcharges.json,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.141746+00:00,170175,COMMONSPIRIT ST. CATHERINE HOSPITAL - DODGE CITY,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/10548/480543721_commonspirit-health-st-catherine-hospital-dodge-city_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.141750+00:00,170176,OVERLAND PARK REGIONAL MEDICAL CENTER,SKIPPED,https://www.hcadam.com/api/public/content/1d47da8ae87f4ce2847ba765c9af2c1b?download=true,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.141755+00:00,170182,MENORAH MEDICAL CENTER,SKIPPED,https://www.hcadam.com/api/public/content/4e12eecc20ff47979a74e565cb413594?download=true,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.141759+00:00,170183,KANSAS SURGERY & RECOVERY CENTER,SKIPPED,https://irp.cdn-website.com/fa377abf/files/uploaded/481148580_kansas-surgery---recovery-center-llc_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.141762+00:00,170186,KANSAS HEART HOSPITAL,SKIPPED,"https://kansasheart.com/price-transparency/742837441_kansas-heart-hospital,-l.l.c._standardcharges.csv",,,Data is 1.7 days old (max age: 30),
2026-01-28T19:31:29.141766+00:00,170187,SALINA SURGICAL HOSPITAL,SKIPPED,https://machine-readable-files.com/salina-surgical-hospital/481169103_salina-surgical-hospital_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.141770+00:00,170145,COFFEYVILLE REGIONAL MEDICAL CENTER,SUCCESS,https://www.crmcinc.org/wp-content/uploads/2025/07/Price-Transparency-Export-Machine-Readable-File-2025V1.xlsx,,,,3.94
2026-01-28T19:31:29.141774+00:00,170188,KANSAS CITY ORTHOPAEDIC INSTITUTE,SKIPPED,https://kcoi.pt.panaceainc.com/MRFDownload/kcoi/kcoi,,,Data is 1.6 days old (max age: 30),
2026-01-28T19:31:29.141779+00:00,170191,UNIVERSITY OF KANSAS HEALTH SYSTEM GREAT BEND CAMPUS,SKIPPED,https://ukhspricetransparency.blob.core.windows.net/ukhs-price-transparency/83-0516935_TheUniversityOfKansasHealthSystemGreatBendCampus_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.141783+00:00,170196,KANSAS SPINE & SPECIALTY HOSPITAL,SKIPPED,https://apim.services.craneware.com/api-pricing-transparency/api/public/80b49e7e4d81721153e53e7620151ead/charges/mrf,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.141787+00:00,170200,ASCENSION VIA CHRISTI ST TERESA,SKIPPED,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/ks-csv/271965272_ascension-via-christi-hospital-wichita-st-teresa-inc_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.141793+00:00,170203,MERCY SPECIALTY HOSPITAL SOUTHEAST KANSAS,SKIPPED,https://www.mercy.net/content/dam/mercy/en/web-assets/charge-files/843730625_mercy-hospital-southeast-kansas-specialty-hospital_standardcharges.zip,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.141797+00:00,171300,GRISELL MEMORIAL HOSPITAL,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbGMHDRANSOMKS&type=CDMWithoutLabel&fileType=CSV,,,Data is 1.8 days old (max age: 30),
