date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.145824+00:00,180001,ST. ELIZABETH FT. THOMAS,SKIPPED,https://www.stelizabeth.com/docs/default-source/patient-pricing/2025/610445850_st-elizabeth-ftthomas_standardcharges.json,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145829+00:00,180004,OWENSBORO HEALTH MUHLENBERG COMMUNITY HOSPITAL,SKIPPED,https://www.owensborohealth.org/sites/default/files/documents/47-3944197_owensboro-health-muhlenberg-community-hospital_standardcharges.csv,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145834+00:00,180005,HIGHLANDS ARH REGIONAL MEDICAL CENTER,SKIPPED,https://www.arh.org/wp-content/uploads/2025/03/822577178_Highlands-ARH-Regional-Medical-Center_standardcharges.csv,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145838+00:00,180009,KINGS DAUGHTERS MEDICAL CENTER,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/7804/610444716_ashland-hospital-corporation_standardcharges.csv,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145842+00:00,180010,CHI HEALTH SAINT JOSEPH HOSPITAL,SKIPPED,https://www.chisaintjosephhealth.org/content/dam/stjoseph-ky/documents/611334601_chi-saint-joseph-health-saint-joseph-hospital_standardcharges.json,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145847+00:00,180011,CHI SAINT JOSEPH HOSPITAL LONDON,SKIPPED,https://www.commonspirit.org/content/dam/commonspiritorg/en/chisj/soky/finance/price-transparency/611334601_chi-saint-joseph-health-saint-joseph-london_standardcharges.json,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145852+00:00,180012,BAPTIST HEALTH HARDIN,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbHMHELIZABETHTOWNKY&type=CDMWithoutLabel&fileType=CSV,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145856+00:00,180013,COMMONWEALTH REGIONAL SPECIALTY HOSPITAL,SKIPPED,https://medcenterhealth.org/charges/crsh/,,,No scraper for format: None,
2026-01-28T19:31:29.145860+00:00,180013,THE MEDICAL CENTER AT BOWLING GREEN,SKIPPED,https://medcenterhealth.org/charges/mcbg/,,,No scraper for format: None,
2026-01-28T19:31:29.145864+00:00,180016,UOFL HEALTH - SHELBYVILLE HOSPITAL,SKIPPED,https://uoflhealth.org/wp-content/uploads/2024/12/843196350_UofL-Health-Shelbyville-Hospital_standardcharges.zip,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145869+00:00,180017,T J SAMSON COMMUNITY HOSPITAL,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbTJSamsonCommunity&type=CDMWithoutLabel&fileType=CSV,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145873+00:00,180018,ST. CLAIRE REGIONAL MEDICAL CENTER,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbStClaireMoreheadKY&type=CDMWithoutLabel&fileType=CSV,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145878+00:00,180019,MEADOWVIEW REGIONAL MEDICAL CENTER,SKIPPED,https://www.meadowviewregional.com/docs/meadowviewregionallibraries/hcl/mrf2q25/621757929_meadowview-regional-med_standardcharges.csv,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145883+00:00,180020,MIDDLESBORO ARH HOSPITAL,SKIPPED,https://www.arh.org/wp-content/uploads/2025/05/520795508_Middlesboro-ARH-Hospital_standardcharges.csv,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145887+00:00,180024,SPRING VIEW HOSPITAL,SKIPPED,https://www.springviewhospital.com/docs/zahspringviewlibraries/hcl/mrf2q25/200155414_spring-view-hospital_standardcharges.csv,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145891+00:00,180025,CHI SAINT JOSEPH HEALTH FLAGET MEMORIAL HOSPITAL,SKIPPED,https://www.commonspirit.org/content/dam/commonspiritorg/en/chisj/soky/finance/price-transparency/611345363_chi-saint-joseph-health-flaget-memorial-hospital_standardcharges.json,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145896+00:00,180027,MURRAY CALLOWAY COUNTY HOSPITAL,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbMurrayCalloway&type=CDMWithoutLabel&fileType=CSV,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145900+00:00,180029,HAZARD ARH REGIONAL MEDICAL CENTER,SKIPPED,https://www.arh.org/wp-content/uploads/2025/05/520795508_Hazard-ARH-Regional-Medical-Center_standardcharges.csv,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145903+00:00,180035,ST. ELIZABETH EDGEWOOD,SKIPPED,https://www.stelizabeth.com/docs/default-source/patient-pricing/2025/610445850_st-elizabeth-edgewood_standardcharges.json,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145908+00:00,180037,UOFL HEALTH - MARY & ELIZABETH HOSPITAL,SKIPPED,https://uoflhealth.org/wp-content/uploads/2024/12/843178470_UofL-Health-Mary-and-Elizabeth-Hospital_standardcharges.zip,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145912+00:00,180038,OWENSBORO HEALTH REGIONAL HOSPITAL,SKIPPED,https://www.owensborohealth.org/sites/default/files/documents/61-1286361_owensboro-health-regional-hospital_standardcharges.csv,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145916+00:00,180040,UOFL HEALTH - JEWISH HOSPITAL,SKIPPED,https://uoflhealth.org/wp-content/uploads/2024/12/843178470_UofL-Health-Jewish-Hospital_standardcharges.zip,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145920+00:00,180043,ADVENTHEALTH MANCHESTER,SKIPPED,https://www.adventhealth.com/sites/default/files/CDM/2025/610594620_AdventHealth-Manchester_standardcharges.json,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145924+00:00,180044,PIKEVILLE MEDICAL CENTER,SKIPPED,https://hospitalpricedisclosure.com/download.aspx?pi=CKA*__*zCaPMbmJ5cnsoIHDKg*-*,,,Data is 1.2 days old (max age: 30),
2026-01-28T19:31:29.145928+00:00,180045,ST. ELIZABETH FLORENCE,SKIPPED,https://www.stelizabeth.com/docs/default-source/patient-pricing/2025/610445850_st-elizabeth-florence_standardcharges.json,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145932+00:00,180046,BOURBON COMMUNITY HOSPITAL,FAILURE,https://www.bourbonhospital.com/sites/bourbon/assets/uploads/MRF2Q25/621757924_bourbon-community-hospital_standardcharges.csv,,ValueError,Server returned HTML instead of CSV (Content-Type: text/html; charset=utf-8),0.87
2026-01-28T19:31:29.145938+00:00,180048,EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,FAILURE,https://transparency.emhealth.org/assets/data/610492356_EPHRAIM-MCDOWELL-REGIONAL-MEDICAL-CENTER_standardcharges.csv,,PermanentHTTPError,Server returned 404,0.48
2026-01-28T19:31:29.145942+00:00,180049,BAPTIST HEALTH RICHMOND,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbBHRRICHMONDKY&type=CDMWithoutLabel&fileType=CSV,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145946+00:00,180050,HARLAN ARH HOSPITAL,SKIPPED,https://www.arh.org/wp-content/uploads/2025/03/520795508_Harlan-ARH-Hospital_standardcharges.csv,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145950+00:00,180051,JENNIE STUART MEDICAL CENTER,SKIPPED,https://www.jenniestuarthealth.org/wp-content/uploads/2025/04/610482973_jennie-stuart-medical-center_standardcharges.csv-9-4.csv,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145955+00:00,180056,DEACONESS HENDERSON HOSPITAL,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/8109/610461753_deaconess-health-system-henderson-hospital_standardcharges.csv,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145959+00:00,180064,SAINT JOSEPH MOUNT STERLING,SKIPPED,https://www.commonspirit.org/content/dam/commonspiritorg/en/chisj/soky/finance/price-transparency/611334601_chi-saint-joseph-health-saint-joseph-mount-sterling_standardcharges.json,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145964+00:00,180066,THE MEDICAL CENTER AT RUSSELLVILLE,SKIPPED,https://medcenterhealth.org/download/42770/?tmstv=1741701592,,,No scraper for format: None,
2026-01-28T19:31:29.145967+00:00,180067,UNIVERSITY OF KENTUCKY ALBERT B. CHANDLER HOSPITAL,FAILURE,https://hospitalpricedisclosure.com/Default.aspx?ci=Dn*__*BGKKwBFJp793mE1jFzw*-*,,ValueError,Server returned HTML instead of JSON (Content-Type: text/html; charset=utf-8),0.53
2026-01-28T19:31:29.145973+00:00,180069,TUG VALLEY ARH REGIONAL MEDICAL CENTER,SKIPPED,https://www.arh.org/wp-content/uploads/2025/03/520795508_Tug-Valley-ARH-Regional-Medical-Center_standardcharges.csv,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145977+00:00,180070,OWENSBORO HEALTH TWIN LAKES MEDICAL CENTER,SKIPPED,https://www.owensborohealth.org/sites/default/files/documents/85-3033915_owensboro-health-twin-lakes-medical-center_standardcharges.csv,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145981+00:00,180078,PAINTSVILLE ARH HOSPITAL,SKIPPED,https://www.arh.org/wp-content/uploads/2025/05/822577178_Paintsville-ARH-Hospital_standardcharges.csv,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145985+00:00,180079,HARRISON MEMORIAL HOSPITAL,SKIPPED,https://apim.services.craneware.com/api-pricing-transparency/api/public/6cea94a954453f13de317b99f0ff1d70/charges/mrf,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145990+00:00,180080,BAPTIST HEALTH CORBIN,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbBRMCCORBINKY&type=CDMWithoutLabel&fileType=CSV,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145993+00:00,180087,TAYLOR REGIONAL HOSPITAL,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbTRCAMPBELLSVILLEKY&type=CDMWithoutLabel&fileType=CSV,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.145998+00:00,180088,NORTON AUDUBON HOSPITAL,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/11466/610703799_norton-audubon-hospital_standardcharges.csv,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.146001+00:00,180088,NORTON HOSPITAL,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/11469/610703799_norton-hospital_standardcharges.csv,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.146005+00:00,180092,CLARK REGIONAL MEDICAL CENTER,FAILURE,https://www.clarkregional.org/sites/clarkregional/assets/uploads/MRF2Q25/621772321_clark-regional-medical-center_standardcharges.csv,,ValueError,Server returned HTML instead of CSV (Content-Type: text/html; charset=utf-8),0.82
2026-01-28T19:31:29.146011+00:00,180093,BAPTIST HEALTH DEACONESS MADISONVILLE,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/10992/610654587_baptist-health-deaconess-madisonville%2C-inc_standardcharges.csv,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.146015+00:00,180095,CRITTENDEN COMMUNITY HOSPITAL,SKIPPED,https://www.crittenden-health.org/docs/831262308_Crittenden_Community_Hospital_standardcharges.csv,,,Data is 1.6 days old (max age: 30),
2026-01-28T19:31:29.146018+00:00,180102,MERCY HEALTH - LOURDES HOSPITAL,SKIPPED,https://www.mercy.com/-/media/mercy/patient-resources/hospital-pricing-transparency/610600313_mercy-health-lourdes-hospital-llc_standardcharges.ashx,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.146022+00:00,180103,BAPTIST HEALTH LEXINGTON,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbCentralBaptistLexingtonKY&type=CDMWithoutLabel&fileType=CSV,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.146026+00:00,180104,BAPTIST HEALTH PADUCAH,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbBHPPADUCAHKY&type=CDMWithoutLabel&fileType=CSV,,,Data is 8.5 days old (max age: 30),
2026-01-28T19:31:29.146029+00:00,180104,CONTINUECARE HOSPITAL AT BAPTIST HEALTH PADUCAH,SKIPPED,https://secure.claraprice.net/price-transparency/CRPL-1730316554654/machine-readable/465032999_continuecare-hospital-at-baptist-health-paducah_standardcharges.json,,,Data is 8.5 days old (max age: 30),
