date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.147351+00:00,190002,OCHSNER LAFAYETTE GENERAL,SKIPPED,https://ochsner-craft.s3.amazonaws.com/core/720535375_lafayette-general-medical-center-inc-_standardcharges.csv.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.147356+00:00,190004,THIBODAUX REGIONAL HEALTH SYSTEM,SKIPPED,https://www.thibodaux.com/documents/84-2046902%20_thibodaux-regional-medical-center_standardcharges.json,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.147360+00:00,190006,OCHSNER UNIVERSITY HOSPITAL & CLINICS,SKIPPED,https://ochsner-craft.s3.amazonaws.com/core/462605366_university-hospital-clinics-inc._standardcharges.csv.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.147364+00:00,190007,NATCHITOCHES REGIONAL MEDICAL CENTER,SKIPPED,https://www.nrmchospital.org/download.php?file=726013916_natchitoches-regional-medical-center_standardcharges.json,,,Data is 1.6 days old (max age: 30),
2026-01-28T19:31:29.147368+00:00,190008,TERREBONNE GENERAL MEDICAL CENTER,SKIPPED,https://www.tghealthsystem.com/documents/Terrebonne-General-Hospital-720880258-1852-20240828165131.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.147372+00:00,190011,OCHSNER LSU HEALTH SHREVEPORT - MONROE MEDICAL CENTER,SKIPPED,https://ochsner-craft.s3.amazonaws.com/core/800945173_brfhh-monroe-llc_standardcharges.csv.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.147376+00:00,190013,WEST CALCASIEU CAMERON HOSPITAL,FAILURE,https://www.wcch.com/images/726008355_west-calcasieu-cameron-hospital_standardcharges.5).zip,,PermanentHTTPError,Server returned 404,1.28
2026-01-28T19:31:29.147380+00:00,190014,OCHSNER ST. MARY,SKIPPED,https://ochsner-craft.s3.amazonaws.com/core/842237042_ochsner-morgan-city-llc_standardcharges.csv.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.147384+00:00,190017,OPELOUSAS GENERAL MAIN CAMPUS,SKIPPED,https://www.opelousasgeneral.com/documents/720708111_opelousasgenerahealthsystem_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.147388+00:00,190019,CHRISTUS DUBUIS HOSPITAL OF ALEXANDRIA,SKIPPED,"https://lhcgroup.wpenginepowered.com/wp-content/uploads/82-2117095_LHCG%20CXX,%20LLC%20dba%20Christus%20Dubuis%20Hospital%20of%20Alexandria_standardcharges.xlsx",,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.147393+00:00,190019,CHRISTUS ST. FRANCES CABRINI HOSPITAL,SKIPPED,https://www.christushealth.org/-/media/christus-health/plan-care/files/bill-pay/machine-readable-files/720408984_stfrancescabrinihospital_standardcharges.json,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.147397+00:00,190020,LANE REGIONAL MEDICAL CENTER,SUCCESS,https://secure.claraprice.net/price-transparency/5f87202f5c/machine-readable/726015227_lane-regional-medical-center_standardcharges.json,,,,0.35
2026-01-28T19:31:29.147401+00:00,190025,SAVOY MEDICAL CENTER,SKIPPED,https://savoymedical.com/pricing/80-0202027_SavoyMedicalCenter_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.147404+00:00,190026,RAPIDES REGIONAL MEDICAL CENTER,SKIPPED,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/61-1267229_RAPIDES-REGIONAL-MEDICAL-CENTER_standardcharges.json?si=pt-json-access-policy&spr=https&sv=2024-11-04&sr=c&sig=o5IofreS%2F7ETlsnhPakPWCwHVVUZRobywQ5wUKGjVuQ%3D,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.147409+00:00,190027,CHRISTUS OCHSNER ST PATRICK HOSPITAL,SKIPPED,https://www.christushealth.org/-/media/christus-health/plan-care/files/bill-pay/machine-readable-files/720411322_ochsnerstpatrickhospital_standardcharges.json,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.147414+00:00,190040,SLIDELL MEMORIAL HOSPITAL,SKIPPED,https://slidell-site.files.svdcdn.com/production/main/726014895_st-tammany-hosptial-service-district-no-2_standardcharges.csv?dm=1766433150,,,Data is 0.7 days old (max age: 30),
2026-01-28T19:31:29.147419+00:00,190041,CHRISTUS SHREVEPORT BOSSIER - HIGHLAND MEDICAL CENTER,SKIPPED,https://www.christushealth.org/-/media/christus-health/plan-care/files/bill-pay/machine-readable-files/720408982_highlandmedicalcentershreveport_standardcharges.json,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.147423+00:00,190044,OCHSNER ACADIA GENERAL HOSPITAL,SKIPPED,https://ochsner-craft.s3.amazonaws.com/core/464958152_-acadia-general-hospital-inc._standardcharges.csv.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.147428+00:00,190045,ST. TAMMANY PARISH HOSPITAL,SKIPPED,https://sths-org.s3.us-east-1.amazonaws.com/files/720478620_st-tammany-parish-hospital_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.147432+00:00,190050,BEAUREGARD HEALTH SYSTEM,SKIPPED,https://res.cloudinary.com/dpmykpsih/raw/upload/beauregard-site-285/media/r/579d1d176b8f465b95d747f165cd66d6/charge-master.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.147436+00:00,190053,OCHSNER AMERICAN LEGION HOSPITAL,SKIPPED,https://ochsner-craft.s3.amazonaws.com/core/880907240_ochsner-american-legion-hospital-llc_standardcharges.csv.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.147440+00:00,190054,IBERIA MEDICAL CENTER,SKIPPED,https://www.iberiamedicalcenter.com/_files/ugd/3d8695_524d32b922f14012bd1a57d8ee5f3750.csv?dn=726014963_iberia-general-hospital-and-medical-center_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.147445+00:00,190060,LAKE CHARLES MEMORIAL HOSPITAL,FAILURE,https://lakecharlesmemorialhospital.pg.revenuemasters.com/cdm-files/720551963_lake-charles-memorial-hospital_standardcharges.csv,,PermanentHTTPError,Server returned 404,0.53
2026-01-28T19:31:29.147449+00:00,190064,OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbOLOTBATONROUGELA&type=CDMWithoutLabel&fileType=CSV,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.147454+00:00,190079,ST. CHARLES PARISH HOSPITAL,SKIPPED,https://ochsner-craft.s3.amazonaws.com/core/726014606_hospital-service-district-no.-1-of-the-parish-of-st.-charles-state-of-louisiana_standardcharges.csv.csv,,,Data is 1.6 days old (max age: 30),
2026-01-28T19:31:29.147458+00:00,190086,NORTHERN LOUISIANA MEDICAL CENTER,SKIPPED,https://s3.amazonaws.com/ycubaa-production-marlin-1-charge-management-public/facilities/d191002b-0c8e-4cf4-9961-812ba9c00557/844422249_NORTHERN-LOUISIANA-MEDICAL-CENTER_standardcharges.zip,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.147463+00:00,190088,SPRINGHILL MEDICAL CENTER,SKIPPED,https://www.smccare.com/_files/ugd/75de35_d73161ecde8f46acb740d43ed72691f9.csv?dn=721479692_springhill-medical-services-inc_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.147467+00:00,190090,WINN PARISH MEDICAL CENTER,SKIPPED,https://winnparishmedical.ahmgt.com/81-3465517_WINN-PARISH-MEDICAL-CENTER_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.147471+00:00,190098,OCHSNER LSU HEALTH SHREVEPORT - ACADEMIC MEDICAL CENTER,SKIPPED,https://ochsner-craft.s3.amazonaws.com/core/831173631_university-health-shreveport-llc-_standardcharges.csv.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.147476+00:00,190099,AVOYELLES HOSPITAL,SKIPPED,https://avoyelleshospital.ahmgt.com/813465468_AVOYELLES-HOSPITAL_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.147480+00:00,190102,OUR LADY OF LOURDES REGIONAL MEDICAL CENTER,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbOLOLLAFAYETTELA&type=CDMWithoutLabel&fileType=CSV,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.147484+00:00,190106,OAKDALE COMMUNITY HOSPITAL,SKIPPED,https://s3.amazonaws.com/ycubaa-production-marlin-1-charge-management-public/facilities/04120e6f-af8f-460c-a7bc-f60aa4706e05/813465783_OAKDALE-COMMUNITY-HOSPITAL_standardcharges.zip,,,Data is 1.8 days old (max age: 30),
