date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.156919+00:00,210001,MERITUS MEDICAL CENTER,SKIPPED,https://www.meritushealth.com/files/52-0607949-meritusmedicalcenter-standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.156924+00:00,210002,UNIVERSITY OF MARYLAND MEDICAL CENTER,SKIPPED,https://www.umms.org/standard-charges/521362793_University-of-Maryland-Medical-Center_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.156929+00:00,210003,UNIVERSITY OF MARYLAND CAPITAL REGION MEDICAL CENTER,SKIPPED,https://www.umms.org/standard-charges/521289729_UM-Capital-Region-Medical-Center_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.156933+00:00,210004,HOLY CROSS HOSPITAL,SKIPPED,https://trinityhealth.pt.panaceainc.com/MRFDownload/trinityhealth/holycrosshospital-silverspring,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.156937+00:00,210005,FREDERICK MEMORIAL HOSPITAL,SKIPPED,https://www.frederickhealth.org/documents/billing%20and%20finance/52-0591612_FrederickHealthHospital_standardcharges[2].csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.156941+00:00,210008,MERCY MEDICAL CENTER,SKIPPED,https://mdmercy.com/-/media/files/about-mercy/policies-and-documents/520591658_mercymedicalcenter_standardcharges.ashx,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.156945+00:00,210009,THE JOHNS HOPKINS HOSPITAL,SKIPPED,https://jhm-web-assets.s3.amazonaws.com/hopkinsmedicine/prod/charge-fees/520591656_JohnsHopkinsHospital_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.156949+00:00,210012,SINAI HOSPITAL OF BALTIMORE,FAILURE,https://www.lifebridgehealth.org/sites/default/files/2025-04/52-0486540_Sinai-Hospital-of-Baltimore_standardcharges.csv,,PermanentHTTPError,Server returned 403,0.29
2026-01-28T19:31:29.156953+00:00,210015,MEDSTAR FRANKLIN SQUARE MEDICAL CENTER,SKIPPED,https://www.medstarhealth.org/-/media/project/mho/medstar/billing-and-insurance/2025update/520608007_medstar-franklin-square-medical-center_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.156958+00:00,210016,ADVENTIST HEALTHCARE WHITE OAK MEDICAL CENTER,FAILURE,https://www.adventisthealthcare.com/app/files/public/91919297-0df2-4ab4-b788-71160672291c/84-2670875_AdventistHealthCareFortWashingtonMedicalCenter_StandardCharges.csv,,PermanentHTTPError,Server returned 403,0.28
2026-01-28T19:31:29.156963+00:00,210017,GARRETT REGIONAL MEDICAL CENTER,SKIPPED,https://wvumedicine.org/wp-content/uploads/2025/04/871846814_grmcinc_standardcharges432025.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.156968+00:00,210019,TIDALHEALTH PENINSULA REGIONAL,SKIPPED,https://www.tidalhealth.org/sites/default/files/2024-12/52-0591628_TIDALHEALTH-PENINSULA-REGIONAL-INC._standard%20charges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.156972+00:00,210023,LUMINIS HEALTH ANNE ARUNDEL MEDICAL CENTER,SKIPPED,https://www.luminishealth.org/sites/default/files/2024-12/52-1169362_annearundelmedicalcenter_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.156976+00:00,210024,MEDSTAR UNION MEMORIAL HOSPITAL,SKIPPED,https://www.medstarhealth.org/-/media/project/mho/medstar/billing-and-insurance/2025update/520591685_medstar-union-memorial-hospital_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.156981+00:00,210027,UPMC WESTERN MARYLAND,SKIPPED,https://dam.upmc.com/-/media/upmc/locations/hospitals/western-maryland/patients-visitors/520591531_upmcwesternmaryland_standardcharges.csv?rev=84706e0bf7934c6c9439aadabcd336ad&hash=652E84CBD06CDB5C21B008B4B305AE2E,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.156986+00:00,210028,MEDSTAR SAINT MARY'S HOSPITAL,SKIPPED,https://www.medstarhealth.org/-/media/project/mho/medstar/billing-and-insurance/2025update/520619006_medstar-stmarys-hospital_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.156991+00:00,210029,JOHNS HOPKINS BAYVIEW MEDICAL CENTER,SKIPPED,https://jhm-web-assets.s3.amazonaws.com/hopkinsmedicine/prod/charge-fees/521341890_JohnsHopkinsBayview_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.156995+00:00,210030,UNIVERSITY OF MARYLAND SHORE MEDICAL CTR AT CHESTERTOWN,SKIPPED,https://www.umms.org/standard-charges/520679694_UM-Shore-Medical-Center-at-Chestertown_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.157000+00:00,210032,CHRISTIANACARE UNION HOSPITAL,SKIPPED,https://www.uhcc.com/wp-content/uploads/2025/01/520607945_union-hospital-of-cecil-county_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.157004+00:00,210034,MEDSTAR HARBOR HOSPITAL,SKIPPED,https://www.medstarhealth.org/-/media/project/mho/medstar/billing-and-insurance/2025update/520491660_medstar-harbor-hospital_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.157009+00:00,210035,UNIVERSITY OF MARYLAND CHARLES REGIONAL MEDICAL CENTER,SKIPPED,https://www.umms.org/standard-charges/520445374_UM-Charles-Regional-Medical-Center_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.157013+00:00,210037,UNIVERSITY OF MARYLAND SHORE MEDICAL CENTER AT EASTON,SKIPPED,https://www.umms.org/standard-charges/520610538_UM-Shore-Medical-Center-at-Easton_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.157017+00:00,210038,UNIVERSITY OF MARYLAND MEDICAL CENTER MIDTOWN CAMPUS,SKIPPED,https://www.umms.org/standard-charges/520591667_UMMC-Midtown-Campus_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.157022+00:00,210033,CARROLL HOSPITAL CENTER,FAILURE,https://www.lifebridgehealth.org/sites/default/files/2025-04/52-0486540_Sinai-Hospital-of-Baltimore_standardcharges.csv,,PermanentHTTPError,Server returned 403,0.22
2026-01-28T19:31:29.157026+00:00,210039,CALVERT HEALTH MEDICAL CENTER,SKIPPED,https://www.calverthealthmedicine.org/Uploads/Public/Documents/PatientResources/520619000_CalvertHealth%20Medical%20Center_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.157030+00:00,210043,UNIVERSITY OF MARYLAND BALTIMORE WASHINGTON MEDICAL CENTER,SKIPPED,https://www.umms.org/standard-charges/520689917_UM-Baltimore-Washington-Medical-Center_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.157034+00:00,210044,GREATER BALTIMORE MEDICAL CENTER,SKIPPED,https://www.gbmc.org/sites/default/files/documents/52-6049658_gbmc_standardcharges.csv,,,Data is 1.5 days old (max age: 30),
