date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.159866+00:00,200001,SAINT JOSEPH HOSPITAL,SKIPPED,https://stjosephbangor.org/CMS%20Files/010212435_st-joseph-hospital_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.159872+00:00,200009,MAINE MEDICAL CENTER,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/7975/010238552-1760436216_mainehealth_standardcharges.csv,,,Data is 1.5 days old (max age: 30),
2026-01-28T19:31:29.159876+00:00,200018,NORTHERN LIGHT A R GOULD HOSPITAL,FAILURE,https://rca.centaurihs.com/ptapp/api/cdm/export/oneclick?recno=6ca53845f61d792deee99c0bd511f761f55a57767d337a28dedf5630ebfa61ba,,PermanentHTTPError,Server returned 204,0.34
2026-01-28T19:31:29.159881+00:00,200019,MAINEHEALTH MAINE MEDICAL CENTER BIDDEFORD,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/8193/010238552-1760436216_mainehealth_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.159885+00:00,200020,YORK HOSPITAL MAIN CAMPUS,SKIPPED,https://www.yorkhospital.com/download_file/view/e705f507-5b4d-414a-8e1a-0da2189d32d7/286,,,No scraper for format: None,
2026-01-28T19:31:29.159889+00:00,200021,MID COAST HOSPITAL,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/8025/010238552-1932164795_mainehealth_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.159893+00:00,200034,SAINT MARYS REGIONAL MEDICAL CENTER,SKIPPED,https://stmarysmaine.com/CMS%20Files/010211551_st-mary-_s-regional-medical-center_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.159897+00:00,200050,NORTHERN LIGHT MAINE COAST HOSPITAL,FAILURE,https://rca.centaurihs.com/ptapp/api/cdm/export/oneclick?recno=a3f4d3364cadfc886d03299ec26304cd27c08fda8a0f9034a64aba31b644bb84,,PermanentHTTPError,Server returned 204,0.24
2026-01-28T19:31:29.159902+00:00,200052,NORTHERN MAINE MEDICAL CENTER,SKIPPED,https://nmmc.org/wp-content/uploads/2025/04/010234189_northern-maine-medical-center_standardcharges.csv,,,Data is 0.7 days old (max age: 30),
2026-01-28T19:31:29.159906+00:00,200063,PEN BAY MEDICAL CENTER,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/7976/010238552-1982645305_mainehealth_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.159910+00:00,201300,NORTHERN LIGHT BLUE HILL MEMORIAL HOSPITAL,FAILURE,https://rca.centaurihs.com/ptapp/api/cdm/export/oneclick?recno=b1562d7d2deeb17779fe4529a62f85f274be546e88b739f69dcbc279c9e712f9,,PermanentHTTPError,Server returned 204,0.19
2026-01-28T19:31:29.159915+00:00,201301,NORTHERN LIGHT CA DEAN HOSPITAL,FAILURE,https://rca.centaurihs.com/ptapp/api/cdm/export/oneclick?recno=a71d77cf48b4ce47a61b14896ec8120dfa6cde23fba677aafe8637927b60a714,,PermanentHTTPError,Server returned 204,0.20
2026-01-28T19:31:29.159919+00:00,201302,MAINEHEALTH LINCOLN HOSPITAL,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/7981/010238552-1912094806_mainehealth_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.159923+00:00,201303,PENOBSCOT VALLEY HOSPITAL,SKIPPED,https://pvhme.org/files/price-transparency/01-0545327_PenobscotValleyHospital_StandardCharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.159926+00:00,201304,MOUNT DESERT ISLAND HOSPITAL,SKIPPED,https://www.mdihospital.org/wp-content/uploads/2025/05/010211797_Mount-Desert-Island-Hospital_standardcharges-51925.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.159931+00:00,201305,CALAIS COMMUNITY HOSPITAL,SKIPPED,https://secure.claraprice.net/price-transparency/IJLS-1755124586280/machine-readable,,,Data is 1.8 days old (max age: 30),
