date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.138074+00:00,230002,TRINITY HEALTH LIVONIA HOSPITAL,SKIPPED,https://trinityhealth.pt.panaceainc.com/MRFDownload/trinityhealth/stmarylivonia,,,Data is 6.8 days old (max age: 30),
2026-01-28T19:31:29.138079+00:00,230005,PROMEDICA CHARLES AND VIRGINIA HICKMAN HOSPITAL,SKIPPED,https://pcl.promedica.org/-/media/promedica/pay-my-bill/382796005_emma_l_bixby_medical_center_standardcharges.csv?rev=780f103fa70e4031b89af09df5906097&hash=D57180A3EC15CF816C8DA2804B01A239&_gl=1*1uxx20m*_gcl_au*MTUwMTM4NTgyNy4xNzQ2NTIxNzMy,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138084+00:00,230015,THREE RIVERS HEALTH HOSPITAL,SKIPPED,https://www.beaconhealthsystem.org/wp-content/uploads/2024/12/451257972_Three-Rivers-Health_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138089+00:00,230017,BRONSON METHODIST HOSPITAL,SKIPPED,https://images.pricetransparency.healthcare/bronson-methodist/381359087_bronson-methodist-hospital_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138094+00:00,230019,HENRY FORD PROVIDENCE NOVI HOSPITAL,SKIPPED,https://www.henryford.com/-/media/files/henry-ford/patients-visitors/price-transparency-2025/381358212-1144210253_henry-ford-providence-novi-hospital_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138099+00:00,230019,HENRY FORD PROVIDENCE SOUTHFIELD HOSPITAL,SKIPPED,https://www.henryford.com/-/media/files/henry-ford/patients-visitors/price-transparency-2025/381358212-1144210253_henry-ford-providence-southfield-hospital_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138103+00:00,230020,COREWELL HEALTH DEARBORN HOSPITAL,SKIPPED,https://assets.contentstack.io/v3/assets/blt3055f692fe7bf193/blt58accc53de460d32/6777fb0b02a8435f7a2f0fcf/381405141_1740230119_oakwood-healthcare-inc_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138108+00:00,230013,PONTIAC GENERAL HOSPITAL,FAILURE,http://www.pontiacgeneral.com/wp-content/uploads/262512084_pontiac-general-hospital_standardcharges.csv,,PermanentHTTPError,Server returned 307,0.26
2026-01-28T19:31:29.138112+00:00,230021,COREWELL HEALTH ST. JOSEPH HOSPITAL,SKIPPED,https://assets.contentstack.io/v3/assets/blt3055f692fe7bf193/blteac5bb244862ae70/6777fcd8ccead1793d3f708f/382156872_lakeland-hospitals-at-niles-and-st-joseph-inc_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138117+00:00,230022,INSIGHT HOSPITAL & MEDICAL CENTER COLDWATER,SKIPPED,https://estimator.myinsightcare.com/static/mrf/386108110_insight-hospital-and-medical-center-coldwater_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138121+00:00,230024,DMC SINAI-GRACE HOSPITAL,SKIPPED,https://mrfs.hyvehealthcare.com/TenetHealth/272844632_DMCSinaiGraceHospital_standardcharges.json,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138125+00:00,230029,TRINITY HEALTH OAKLAND HOSPITAL,SKIPPED,https://trinityhealth.pt.panaceainc.com/MRFDownload/trinityhealth/stjosephoakland,,,Data is 6.8 days old (max age: 30),
2026-01-28T19:31:29.138129+00:00,230031,LAKE HURON MEDICAL CENTER,SKIPPED,https://mylakehuron.com/wp-content/uploads/2024/12/472361878_LakeHuronMedicalCenter_standardcharges.json,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138132+00:00,230035,COREWELL HEALTH GREENVILLE HOSPITAL,SKIPPED,https://assets.contentstack.io/v3/assets/blt3055f692fe7bf193/bltf6457d04944e6f0c/6777fd8105ab07f6402c66dc/381358412_spectum-health-united_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138137+00:00,230037,HILLSDALE HOSPITAL,SKIPPED,https://www.hillsdalehospital.com/wp-content/uploads/2025/07/38-6005550_Hillsdale-Hospital_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138142+00:00,230038,COREWELL HEALTH BUTTERWORTH HOSPITAL,SKIPPED,https://assets.contentstack.io/v3/assets/blt3055f692fe7bf193/blt1f1301ac054e4c33/6777fd81b1ed3c154ddc8462/381360529_spectrum-health-hospitals_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138148+00:00,230030,MYMICHIGAN MEDICAL CENTER ALMA,FAILURE,https://www.mymichigan.org/app/files/public/a7d06688-3093-4e8f-a162-194e082d5bcf/381437919_mymichigan-medical-center-alma_standardcharges.csv,,PermanentHTTPError,Server returned 403,0.34
2026-01-28T19:31:29.138154+00:00,230041,MCLAREN BAY REGION,SKIPPED,https://www.mclaren.org/Uploads/Public/Documents/corporate/ChargeMasterFile/2025/38-1976271_McLarenBayRegion_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138162+00:00,230053,HENRY FORD HOSPITAL,SKIPPED,https://henryford.com/-/media/files/henry-ford/patients-visitors/price-transparency-2025/381357020-1134144801_henry-ford-health_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138167+00:00,230054,UP HEALTH SYSTEM - MARQUETTE,SKIPPED,https://www.uphealthsystem.com/docs/ahuphealthsystemlibraries/hcl/mrf2q25/800818718_marquette-general-hospital_standardcharges.csv,,,Data is 6.8 days old (max age: 30),
2026-01-28T19:31:29.138171+00:00,230036,MYMICHIGAN MEDICAL CENTER ALPENA,FAILURE,https://www.mymichigan.org/app/files/public/a7d06688-3093-4e8f-a162-194e082d5bcf/381437919_mymichigan-medical-center-alma_standardcharges.csv,,PermanentHTTPError,Server returned 403,0.30
2026-01-28T19:31:29.138176+00:00,230055,MARSHFIELD MEDICAL CENTER - DICKINSON,SKIPPED,https://www.marshfieldclinic.org/mPatientResources/Documents/382780429_marshfield-medical-center--dickinson_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138180+00:00,230058,MUNSON HEALTHCARE GRAYLING,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/8135/471161992_munson-healthcare-grayling_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138184+00:00,230059,TRINITY HEALTH GRAND RAPIDS HOSPITAL,SKIPPED,https://trinityhealth.pt.panaceainc.com/MRFDownload/trinityhealth/mercyhealthmarys,,,Data is 6.8 days old (max age: 30),
2026-01-28T19:31:29.138188+00:00,230066,TRINITY HEALTH MUSKEGON HOSPITAL,SKIPPED,https://trinityhealth.pt.panaceainc.com/MRFDownload/trinityhealth/mercyhealthhackley,,,Data is 6.8 days old (max age: 30),
2026-01-28T19:31:29.138193+00:00,230069,TRINITY HEALTH LIVINGSTON HOSPITAL,SKIPPED,https://trinityhealth.pt.panaceainc.com/MRFDownload/trinityhealth/stjoseph-mercylivingstonhospital,,,Data is 6.8 days old (max age: 30),
2026-01-28T19:31:29.138197+00:00,230070,COVENANT MEDICAL CENTER HARRISON,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/8515/383369438_covenant-medical-center-inc_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138201+00:00,230071,STRAITH HOSPITAL,SKIPPED,https://straithhospital.org/wp-content/uploads/2025/05/381455020_straith-hospital-for-special-surgery_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138205+00:00,230046,UNIVERSITY OF MICHIGAN HEALTH SYSTEM,FAILURE,https://www.uofmhealth.org/38-6006309_UNIVERSITY-OF-MICHIGAN-HEALTH_standardcharges-1-1-25.zip,,PermanentHTTPError,Server returned 403,0.31
2026-01-28T19:31:29.138210+00:00,230072,HOLLAND HOSPITAL MAIN CAMPUS,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbHCHHOLLANDMI&type=CDMWithoutLabel&fileType=CSV,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138214+00:00,230075,BRONSON BATTLE CREEK HOSPITAL,SKIPPED,https://images.pricetransparency.healthcare/bronson-battle-creek/382776791_bronson-battle-creek-hospital_standardcharges.csv,,,Data is 0.1 days old (max age: 30),
2026-01-28T19:31:29.138218+00:00,230078,COREWELL HEALTH LAKELAND WATERVLIET HOSPITAL,SKIPPED,https://assets.contentstack.io/v3/assets/blt3055f692fe7bf193/blt1954749af24e3543/6777fcd7559f087779636d13/381368745_corewell-health-watervliet-hospital_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138223+00:00,230080,MCLAREN CENTRAL MICHIGAN,SKIPPED,https://www.mclaren.org/Uploads/Public/Documents/corporate/ChargeMasterFile/2025/38-1420304_McLarenCentral_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138228+00:00,230081,MUNSON HEALTHCARE CADILLAC,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/8134/471156297_munson-healthcare-cadillac_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138232+00:00,230085,BRONSON SOUTH HAVEN HOSPITAL,SKIPPED,https://images.pricetransparency.healthcare/bronson-south-haven/381676780_bronson-south-haven-hospital_standardcharges.csv,,,Data is 0.1 days old (max age: 30),
2026-01-28T19:31:29.138236+00:00,230092,HENRY FORD JACKSON HOSPITAL,SKIPPED,https://henryford.com/-/media/files/henry-ford/patients-visitors/price-transparency-2025/382027689_henry-ford-health_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138239+00:00,230093,COREWELL HEALTH BIG RAPIDS HOSPITAL,SKIPPED,https://assets.contentstack.io/v3/assets/blt3055f692fe7bf193/blt0de32cd5118c8ba6/6777fd81e4bfd30624ac8b8c/381368744_mecosta-county-medical-center_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138244+00:00,230097,MUNSON MEDICAL CENTER,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/8137/381362830_munson-medical-center_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138248+00:00,230099,PROMEDICA MONROE REGIONAL HOSPITAL,SKIPPED,https://pcl.promedica.org/-/media/promedica/pay-my-bill/381984289_mercy-memorial-hospital-corporation_standardcharges.csv?rev=28237c4f062440dcb9ee461cba43ccfc&hash=187377A53B3DB9AE0B5AAB6C0B868866&_gl=1*ecruqv*_gcl_au*MTUwMTM4NTgyNy4xNzQ2NTIxNzMy,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138253+00:00,230104,DMC HARPER UNIVERSITY HOSPITAL,SKIPPED,https://mrfs.hyvehealthcare.com/TenetHealth/272844767_HarperUniversityHospitalDMC_standardcharges.json,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138256+00:00,230105,MCLAREN NORTHERN MICHIGAN,SKIPPED,https://www.mclaren.org/Uploads/Public/Documents/corporate/ChargeMasterFile/2025/38-2146751_McLarenNorthernMichigan_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138261+00:00,230077,MYMICHIGAN MEDICAL CENTER SAGINAW,FAILURE,https://www.mymichigan.org/app/files/public/a7d06688-3093-4e8f-a162-194e082d5bcf/381437919_mymichigan-medical-center-alma_standardcharges.csv,,PermanentHTTPError,Server returned 403,0.46
2026-01-28T19:31:29.138266+00:00,230108,UP HEALTH SYSTEM PORTAGE,SKIPPED,https://www.uphealthsystem.com/docs/ahuphealthsystemlibraries/hcl/mrf2q25/900998484_portage-health_standardcharges.csv,,,Data is 6.8 days old (max age: 30),
2026-01-28T19:31:29.138269+00:00,230110,COREWELL HEALTH LUDINGTON HOSPITAL,SKIPPED,https://assets.contentstack.io/v3/assets/blt3055f692fe7bf193/blt14b01e94d87348cf/6777fd81e4bfd36203ac8b8e/381359266_memorial-medical-center-of-west-michigan_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138274+00:00,230117,BEACON KALAMAZOO,SKIPPED,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/fl-csv/590634434_sacred-heart-health-system-inc_standardcharges.csv,,,Data is 0.1 days old (max age: 30),
2026-01-28T19:31:29.138277+00:00,230130,COREWELL HEALTH WILLIAM BEAUMONT UNIVERSITY HOSPITAL,SKIPPED,https://assets.contentstack.io/v3/assets/blt3055f692fe7bf193/blt3135a4c399d0ea80/6777fb0b6a4e90d0ccd0652d/381459362_1811044878_william-beaumont-hospital_standardcharges[1].csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138282+00:00,230095,MYMICHIGAN MEDICAL CENTER WEST BRANCH,FAILURE,https://www.mymichigan.org/app/files/public/a7d06688-3093-4e8f-a162-194e082d5bcf/381437919_mymichigan-medical-center-alma_standardcharges.csv,,PermanentHTTPError,Server returned 403,0.54
2026-01-28T19:31:29.138286+00:00,230133,OTSEGO MEMORIAL HOSPITAL,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/8052/381303843_munson-healthcare-otsego-memorial-hospital_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138290+00:00,230100,MYMICHIGAN MEDICAL CENTER TAWAS,FAILURE,https://www.mymichigan.org/app/files/public/a7d06688-3093-4e8f-a162-194e082d5bcf/381437919_mymichigan-medical-center-alma_standardcharges.csv,,PermanentHTTPError,Server returned 403,0.48
2026-01-28T19:31:29.138294+00:00,230142,COREWELL HEALTH WAYNE HOSPITAL,SKIPPED,https://assets.contentstack.io/v3/assets/blt3055f692fe7bf193/blt3e21f00deacc4027/6777fb0af6d8ef088ac171d8/381405141_1295785285_oakwood-healthcare-inc_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138299+00:00,230096,STURGIS HOSPITAL,SUCCESS,https://sturgishospital.com/wp-content/uploads/2021/01/Chargemaster.csv,,,,0.83
2026-01-28T19:31:29.138303+00:00,230146,HENRY FORD WYANDOTTE HOSPITAL,SKIPPED,https://www.henryford.com/-/media/files/henry-ford/patients-visitors/price-transparency-2025/382791823_henry-ford-health_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138307+00:00,230151,COREWELL HEALTH FARMINGTON HILLS HOSPITAL,SKIPPED,https://assets.contentstack.io/v3/assets/blt3055f692fe7bf193/blt10f856147013d50a/6777fda9575457d671190b5a/381426919_botsford-general-hospital_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138311+00:00,230156,TRINITY HEALTH ANN ARBOR HOSPITAL,SKIPPED,https://trinityhealth.pt.panaceainc.com/MRFDownload/trinityhealth/stjosephmercy-annarbor,,,Data is 6.8 days old (max age: 30),
2026-01-28T19:31:29.138315+00:00,230165,HENRY FORD ST. JOHN HOSPITAL,SKIPPED,https://www.henryford.com/-/media/files/henry-ford/patients-visitors/price-transparency-2025/381359063_henry-ford-st-john-hospital_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138319+00:00,230174,TRINITY HEALTH GRAND HAVEN HOSPITAL,SKIPPED,https://machine-readable-files.com/trinity-health-grand-haven/383330803-Trinity-Health-Grand-Haven_standardcharges.csv,,,Data is 6.8 days old (max age: 30),
2026-01-28T19:31:29.138323+00:00,230176,COREWELL HEALTH TRENTON HOSPITAL,SKIPPED,https://assets.contentstack.io/v3/assets/blt3055f692fe7bf193/blt869d01e5d3bf7d6d/6777fb0a989c5313e7d53edd/381405141_1740230648_oakwood-healthcare-inc_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.138330+00:00,230195,HENRY FORD WARREN HOSPITAL,SKIPPED,https://www.henryford.com/-/media/files/henry-ford/patients-visitors/price-transparency-2025/383322109_henry-ford-warren-hospital_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
