date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.161262+00:00,240001,NORTH MEMORIAL HEALTH HOSPITAL,SKIPPED,https://northmemorial.com/wp-content/uploads/2025/01/410829979_ROBBINSDALEHOSPITAL_STANDARDCHARGES.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.161268+00:00,240002,ESSENTIA HEALTH-ST. MARY'S MEDICAL CENTER DULUTH,SKIPPED,https://www.essentiahealth.org/standard-charges/2026/200479568_Essentia-Ada_standardcharges.csv,,,Data is 0.1 days old (max age: 30),
2026-01-28T19:31:29.161272+00:00,240004,HENNEPIN COUNTY MEDICAL CENTER CAMPUS,SKIPPED,https://hennepinhealthcare.pt.panaceainc.com/MRFDownload/hennepinhealthcare/hennepinhealthcare,,,Data is 1.5 days old (max age: 30),
2026-01-28T19:31:29.161276+00:00,240006,OLMSTED MEDICAL CENTER,FAILURE,https://www.olmmed.org/410855367_Olmsted-Medical-Center_standardcharges.csv,,PermanentHTTPError,Server returned 403,0.40
2026-01-28T19:31:29.161282+00:00,240014,NORTHFIELD HOSPITAL,SKIPPED,https://www.northfieldhospital.org/sites/default/files/2024-07/416007241_Northfield-Hospital_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.161286+00:00,240018,MAYO CLINIC HEALTH SYSTEM RED WING,SKIPPED,https://mcorgstatic.blob.core.windows.net/cms-price/411404075_mayo-clinic-health-system-red-wing_standardcharges.csv,,,Data is 1.5 days old (max age: 30),
2026-01-28T19:31:29.161291+00:00,240019,ESSENTIA HEALTH DULUTH,SUCCESS,https://www.essentiahealth.org/standard-charges/2026/200479568_Essentia-Ada_standardcharges.csv,13881,,,47.56
2026-01-28T19:31:29.161295+00:00,240022,SANFORD WORTHINGTON MEDICAL CENTER,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/8370/460388596_sanford-worthington-medical-center_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.161299+00:00,240030,ALOMERE HEALTH,SKIPPED,https://alomerehealth.com/wp-content/uploads/2024/12/411410148_alomere-health_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.161303+00:00,240036,CENTRACARE ST CLOUD HOSPITAL,FAILURE,https://www.centracare.com/app/files/public/f420426d-7940-495f-88ca-aba344457e49/920754820_centracare-benson-hospital_standardcharges.csv,,PermanentHTTPError,Server returned 403,0.37
