date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.144649+00:00,260001,MERCY HOSPITAL JOPLIN,SKIPPED,https://www.mercy.net/content/dam/mercy/en/web-assets/charge-files/270814858_mercy-hospital-joplin_standardcharges.zip,,,Data is 1.6 days old (max age: 30),
2026-01-28T19:31:29.144655+00:00,260005,SSM HEALTH ST JOSEPH HEALTH CENTER -SAINT CHARLES,SKIPPED,https://hospitalpricedisclosure.com/download.aspx?pi=dMTdTRnP5Lut4neQ4vbLFA*-*&f=p22CpYLrWLxCnt4HoK7iZA*-*,,,Data is 1.2 days old (max age: 30),
2026-01-28T19:31:29.144660+00:00,260006,MOSAIC MEDICAL CENTER - ST. JOSEPH,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/12744/440545289-1437259694_heartland-regional-medical-center_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.144664+00:00,260011,SSM HEALTH ST. MARY'S HOSPITAL - JEFFERSON CITY,SKIPPED,https://hospitalpricedisclosure.com/download.aspx?pi=u3eEjNYEVJu53n9qmm*_**__*Hw*-*&f=p22CpYLrWLxCnt4HoK7iZA*-*,,,Data is 1.2 days old (max age: 30),
2026-01-28T19:31:29.144669+00:00,260017,PHELPS HEALTH HOSPITAL,SKIPPED,https://apim.services.craneware.com/api-pricing-transparency/api/public/cb9e47700cd0ea2b82d3695d1feeabbf/charges/mrf,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.144672+00:00,260022,NORTHEAST REGIONAL MEDICAL CENTER,SKIPPED,https://www.nermc.com/Uploads/Public/Documents/charge-masters/charge-masters-2024/364395800_northeast-regional-medical-center_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.144677+00:00,260024,TEXAS COUNTY MEMORIAL HOSPITAL,SUCCESS,https://www.tcmh.org/wp-content/uploads/2023/05/CHARGEMASTER-2023_01_01.csv,,,,0.50
2026-01-28T19:31:29.144681+00:00,260025,HANNIBAL REGIONAL HOSPITAL,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/8042/430662495_hannibal-regional-hospital_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.144686+00:00,260032,BARNES-JEWISH HOSPITAL,SKIPPED,https://www.bjc.org/hpt/6/237309937_BarnesJewishHospital_standardcharges.json,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.144691+00:00,260034,BATES COUNTY MEMORIAL HOSPITAL,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/7803/436052772_bates-county-memorial-hospital_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.144695+00:00,260040,COX MEDICAL CENTER SOUTH,SKIPPED,https://cdn.coxhealth.com/documents/440577118_Cox-Medical-Center_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.144699+00:00,260040,COX NORTH HOSPITAL,SKIPPED,https://cdn.coxhealth.com/documents/440577118_Cox-Medical-Center_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.144703+00:00,260047,CAPITAL REGION MEDICAL CENTER,SKIPPED,https://www.muhealth.org/sites/default/files/finance/436003859_university-of-missouri-health-care_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
