date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.154464+00:00,350004,SANFORD SOUTH UNIVERSITY MEDICAL CENTER,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/8383/450226909_sanford-fargo-medical-center_standardcharges.csv,,,Data is 1.5 days old (max age: 30),
2026-01-28T19:31:29.154469+00:00,350006,TRINITY HEALTH ST. JOSEPH’S HOSPITAL,SKIPPED,https://hospitalpricedisclosure.com/download.aspx?pi=9hCt*__*1vhfhFOMtLQdioowA*-*,,,Data is 0.8 days old (max age: 30),
2026-01-28T19:31:29.154474+00:00,350011,SANFORD MEDICAL CENTER FARGO,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/8383/450226909_sanford-fargo-medical-center_standardcharges.csv,,,Data is 1.5 days old (max age: 30),
2026-01-28T19:31:29.154482+00:00,350015,SANFORD MEDICAL CENTER - BISMARCK,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/8388/450226700_sanford-bismarck-medical-center_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.154487+00:00,350043,TRINITY HOSPITAL,SKIPPED,https://hospitalpricedisclosure.com/download.aspx?pi=9hCt*__*1vhfhFOMtLQdioowA*-*,,,Data is 0.8 days old (max age: 30),
2026-01-28T19:31:29.154492+00:00,350070,ESSENTIA HEALTH FARGO,SKIPPED,https://www.essentiahealth.org/standard-charges/2026/200479568_Essentia-Ada_standardcharges.csv,,,Data is 0.1 days old (max age: 30),
2026-01-28T19:31:29.154496+00:00,202022,TIOGA MEDICAL CENTER,SUCCESS,https://www.tiogahealth.org/_files/ugd/51e5d7_dd1fd19b96444b428ff0f7b66aaf91af.xls?dn=Charge%20Master%202022.xls,,,,0.82
2026-01-28T19:31:29.154501+00:00,351301,MOUNTRAIL COUNTY MEDICAL CENTER,SKIPPED,https://secure.claraprice.net/price-transparency/KNHL-1747862097603/machine-readable/450447670_mountrail-county-medical-center_standardcharges.json,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.154505+00:00,350019,ALTRU HOSPITAL,SKIPPED,https://www.altru.org/documents/450310462altru-hospitalstandardchargescsv,,,No scraper for format: None,
2026-01-28T19:31:29.154509+00:00,351303,CHI ST. ALEXIUS HEALTH GARRISON,SKIPPED,https://www.chistalexiushealth.org/content/dam/stalexiushealthorg/documents/financial/price-transparency-standard-charges/450227752_chi-st-alexius-health-garrison_standardcharges.json,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.154514+00:00,351304,CHI ST. ALEXIUS HEALTH TURTLE LAKE,SKIPPED,https://www.chistalexiushealth.org/content/dam/stalexiushealthorg/documents/financial/price-transparency-standard-charges/450226711_chi-st-alexius-health-turtle-lake_standardcharges.json,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.154519+00:00,351302,MCKENZIE COUNTY HEALTHCARE SYSTEMS,SKIPPED,https://search.hospitalpriceindex.com/hpi2/allServices/McKenzieCountyHealthcareSystem/8104or/all?q=**&m=s,,,No scraper for format: None,
2026-01-28T19:31:29.154523+00:00,351309,SANFORD MEDICAL CENTER MAYVILLE,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/8381/450409348_sanford-mayville-medical-center_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.154527+00:00,351308,NELSON COUNTY HEALTH SYSTEM,SKIPPED,https://nelsoncountyhealthsystem.org/file_download/8e3945ca-d2d6-4a29-84a1-555661a687eb,,,No scraper for format: None,
2026-01-28T19:31:29.154531+00:00,351310,SAKAKAWEA MEDICAL CENTER - CAH,SKIPPED,https://machine-readable-files.com/sakakawea-medical-center/450308379_sakakawea-medical-center_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.154536+00:00,351311,CHI LISBON HEALTH,SKIPPED,https://www.chihealth.com/content/dam/chihealthcom/documents/patients-and-visitors/financial-assistance/price-transparency-standard-charges/2025/upper-mw/820558836_chi-lisbon-health_standardcharges.json,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.154542+00:00,351306,DAKOTA REGIONAL MEDICAL CENTER,SUCCESS,https://www.dakotaregional.com/_files/ugd/f0a0c4_0586188b2eb04329a4b2b280013e9916.csv?dn=2%20Copy%20of%20DRMC%20Charge%20Master%20Updates%2012-2024.csv,,,,0.39
2026-01-28T19:31:29.154546+00:00,351316,SMP HEALTH ST. KATERI,SKIPPED,https://secure.claraprice.net/price-transparency/IIVO-1760710869693/machine-readable/450227391_smp-health---st-kateri_standardcharges.json,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.154550+00:00,351318,CHI ST. ALEXIUS HEALTH CARRINGTON,SKIPPED,https://www.chistalexiushealth.org/content/dam/stalexiushealthorg/documents/financial/price-transparency-standard-charges/450227311_chi-st-alexius-health-carrington_standardcharges.json,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.154554+00:00,351319,PEMBINA COUNTY MEMORIAL HOSPITAL,SKIPPED,https://machine-readable-files.com/pembina-county-memorial-hospital/456013474_Pembina_County_Memorial_Hospital_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.154559+00:00,351320,UNITY MEDICAL CENTER,SKIPPED,https://machine-readable-files.com/unity-medical-center/450310159_UnityMedicalCenter_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.154563+00:00,351321,SOUTH CENTRAL HEALTH,SKIPPED,https://schealthnd.com/wp-content/uploads/2024/12/450358986_wishek-hospital-clinic-association_standardcharges.csv,,,Data is 1.5 days old (max age: 30),
2026-01-28T19:31:29.154567+00:00,351322,ASHLEY MEDICAL CENTER,SKIPPED,https://irp.cdn-website.com/5b245649/files/uploaded/450255914_ashley-medical-center_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.154571+00:00,351323,LANGDON PRAIRIE HEALTH,SKIPPED,https://machine-readable-files.com/langdon-prairie-health/363617578_Langdon-Prairie-Health_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.154574+00:00,351314,JACOBSON MEMORIAL HOSPITAL CARE CENTER,SUCCESS,http://www.jacobsonhospital.org/450222079_JacobsonMemorial_standardcharges.csv,,,,0.49
2026-01-28T19:31:29.154578+00:00,351326,FIRST CARE HEALTH CENTER,SKIPPED,https://www.firstcarehc.com/wp-content/uploads/2024/06/450232743_First-Care-Health-Center_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.154582+00:00,351329,SANFORD MEDICAL CENTER HILLSBORO,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/8382/450409348_sanford-hillsboro-medical-center_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.154586+00:00,351330,WEST RIVER HEALTH SERVICES,SKIPPED,https://machine-readable-files.com/west-river-health/450340688_west-river-health_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.154590+00:00,351325,ST LUKE'S MEDICAL CENTER,SUCCESS,https://www.dcstlukes.org/_files/ugd/bbb1a5_a86541ee3f5441edb50bd9f104d5ba0a.csv?dn=450254692_st.-luke%27s-medical-center_standardcharges.csv,,,,0.40
2026-01-28T19:31:29.154594+00:00,351328,LINTON REGIONAL MEDICAL CENTER,SUCCESS,https://lintonregionalmedicalcenter.org/wp-content/uploads/2024/05/Chargemaster-2024-4-1...xlsx,,,,0.48
2026-01-28T19:31:29.154598+00:00,351333,CHI ST. ALEXIUS HEALTH DEVILS LAKE,SKIPPED,https://www.chistalexiushealth.org/content/dam/stalexiushealthorg/documents/financial/price-transparency-standard-charges/450227012_chi-st-alexius-health-devils-lake_standardcharges.json,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.154602+00:00,351334,CHI ST. ALEXIUS HEALTH WILLISTON,SKIPPED,https://www.chistalexiushealth.org/content/dam/stalexiushealthorg/documents/financial/price-transparency-standard-charges/450231183_chi-st-alexius-health-williston_standardcharges.json,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.154606+00:00,351332,HEART OF AMERICA MEDICAL CENTER,SUCCESS,https://irp.cdn-website.com/43c3af16/files/uploaded/Price_Transparency_Website_2025_updated_prices_Feb_1.xlsx,,,,0.27
2026-01-28T19:31:29.154610+00:00,351336,CHI ST. ALEXIUS HEALTH DICKINSON,SKIPPED,https://www.chistalexiushealth.org/content/dam/stalexiushealthorg/documents/financial/price-transparency-2025/450226429_chi-st-alexius-health-dickinson_standardcharges.json,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.154615+00:00,352004,VIBRA HOSPITAL OF FARGO,SKIPPED,https://vhfargo.com/wp-content/uploads/sites/28/2025/09/462632428_vibra-hospital-of-fargo_standardcharges.csv,,,Data is 0.1 days old (max age: 30),
2026-01-28T19:31:29.154620+00:00,352005,VIBRA HOSPITAL OF CENTRAL DAKOTAS,SKIPPED,https://vhcentraldakotas.com/wp-content/uploads/sites/25/2025/09/462632340_vibra-hospital-of-central-dakota_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.154624+00:00,353026,PAM HEALTH REHABILITATION HOSPITAL FARGO,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/10966/850945971_pam-cubed-rehabilitation-hospital-of-fargo-llc_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.154629+00:00,351335,JAMESTOWN REGIONAL MEDICAL CENTER,SUCCESS,https://jrmcnd.com/wp-content/uploads/2023-JRMC-Chargemaster.xlsx,,,,0.57
2026-01-28T19:31:29.154633+00:00,354004,PRAIRIE SAINT JOHN'S,SUCCESS,https://uhsfilecdn.eskycity.net/bh/264314533_prairie-st-john_standardcharges.csv,,,,0.15
2026-01-28T19:31:29.154637+00:00,353027,"ALTRU REHABILITATION HOSPITAL, AFFILIATE OF ENCOMPASS HEALTH",SUCCESS,https://edge.sitecorecloud.io/encompasshee178-encompasshed9db-prodb258-07da/media/Project/EncompassHealth/encompasshealth/Files/1-price-transparency/870885335_Altru-Rehabilitation-Hospital_standardcharges.csv,,,,3.81
