date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.151749+00:00,300003,DARTMOUTH HITCHCOCK MEMORIAL HOSPITAL,SKIPPED,https://www.dartmouth-hitchcock.org/02-0222140_Mary%20Hitchcock%20Memorial%20Hospital_standardcharges.zip,,,Data is 8.3 days old (max age: 30),
2026-01-28T19:31:29.151755+00:00,300011,ST JOSEPH HOSPITAL,SKIPPED,https://stjosephhospital.com/CMS%20Files/020222215_st-joseph-hospital-of-nashua_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.151759+00:00,300012,ELLIOT HOSPITAL,SKIPPED,https://hospitalpricedisclosure.com/Download.aspx?pxi=f7iBAjlzov5McTIGaTxPpw*-*&f=iFd*_*cEPwhQHJy3lVvHy9uQ*-*,,,Data is 0.8 days old (max age: 30),
2026-01-28T19:31:29.151764+00:00,300001,CONCORD HOSPITAL,FAILURE,https://www.concordhospital.org/app/files/public/7596681e-a594-49fb-8bd7-e41379e5fb2c/222594672_concord-hospital_standardcharges.csv,,PermanentHTTPError,Server returned 403,0.26
2026-01-28T19:31:29.151770+00:00,300012,NORTHEAST REHABILITATION HOSPITAL,SKIPPED,https://www.northeastrehab.com/020369797_northeastrehabilitationhospital_standardcharges/,,,Data is 0.8 days old (max age: 30),
2026-01-28T19:31:29.151776+00:00,300014,FRISBIE MEMORIAL HOSPITAL,SKIPPED,https://core.secure.ehc.com/src/util/json-detail-price-list/84-2462186_frisbie-memorial-hospital_standardcharges.json,,,Data is 8.3 days old (max age: 30),
2026-01-28T19:31:29.151783+00:00,300005,CONCORD HOSPITAL LACONIA,FAILURE,https://www.concordhospital.org/app/files/public/7596681e-a594-49fb-8bd7-e41379e5fb2c/222594672_concord-hospital_standardcharges.csv,,PermanentHTTPError,Server returned 403,0.23
2026-01-28T19:31:29.151788+00:00,300017,PARKLAND MEDICAL CENTER,SKIPPED,https://core.secure.ehc.com/src/util/json-detail-price-list/02-0364103_parkland-medical-center_standardcharges.json,,,Data is 8.3 days old (max age: 30),
2026-01-28T19:31:29.151793+00:00,300018,WENTWORTH-DOUGLASS HOSPITAL,SKIPPED,https://www.massgeneralbrigham.org/content/dam/mgb-global/en/price-transparency/020260334_Wentworth-Douglass-Hospital_StandardCharges.zip,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.151799+00:00,300020,SOUTHERN NEW HAMPSHIRE MEDICAL CENTER,SKIPPED,https://hospitalpricedisclosure.com/Download.aspx?pxi=06hFExK19Svl3QLOl*_*Dgkw*-*&f=iFd*_*cEPwhQHJy3lVvHy9uQ*-*,,,Data is 0.8 days old (max age: 30),
