date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.159204+00:00,320002,CHRISTUS ST. VINCENT REGIONAL MEDICAL CENTER,SKIPPED,https://www.christushealth.org/-/media/christus-health/plan-care/files/bill-pay/machine-readable-files/850106941_stvincentregionalmedicalcenter_standardcharges.json,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.159210+00:00,320006,EASTERN NEW MEXICO MEDICAL CENTER,SKIPPED,https://www.enmmc.com/Uploads/Public/Documents/charge-masters/charge-masters-2024/742870118_eastern-new-mexico-medical-center_standardcharges.csv,,,Data is 1.5 days old (max age: 30),
2026-01-28T19:31:29.159214+00:00,320009,LOVELACE MEDICAL CENTER,SKIPPED,https://coc.ardenthealthservices.com/newmexico/85-0327237_Lovelace-Medical-Center_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.159219+00:00,320017,LOVELACE WOMENS HOSPITAL,SKIPPED,https://coc.ardenthealthservices.com/newmexico/85-0327237_Lovelace-Womens-Hospital_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.159223+00:00,320018,MEMORIAL MEDICAL CENTER,SKIPPED,https://www.mmclc.org/docs/ahmemorialmedicalcenterlibraries/hcl/mrf2q25/270085482_memorial-medical-center-las-cruces_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.159227+00:00,320021,PRESBYTERIAN HOSPITAL,SKIPPED,https://onbaseext.phs.org/PEL/DisplayDocument?ContentID=PEL_00954557,,,No scraper for format: None,
2026-01-28T19:31:29.159231+00:00,320022,PLAINS REGIONAL MEDICAL CENTER CLOVIS,SKIPPED,https://onbaseext.phs.org/PEL/DisplayDocument?ContentID=PEL_00954558,,,No scraper for format: None,
2026-01-28T19:31:29.159235+00:00,320038,REHOBOTH MCKINLEY CHRISTIAN HEALTH CARE SERVICES,SKIPPED,https://secure.claraprice.net/price-transparency/ANSH-1701370906574/machine-readable/850313268_rehoboth-mckinley-christian-health-care-services_standardcharges.json,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.159239+00:00,320067,GUADALUPE COUNTY HOSPITAL,SKIPPED,https://www.gchnm.org/s/856000220_Guadalupe-County-Hospital_standardcharges-final.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.159243+00:00,320074,LOVELACE WESTSIDE HOSPITAL,SKIPPED,https://coc.ardenthealthservices.com/newmexico/85-0327237_Lovelace_Westside_Hospital_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.159247+00:00,320083,HEART HOSPITAL OF NEW MEXICO,SKIPPED,https://coc.ardenthealthservices.com/newmexico/85-0327237_Lovelace-Medical-Center_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.159251+00:00,320085,MOUNTAIN VIEW REGIONAL MEDICAL CENTER,SKIPPED,https://www.mountainviewregional.com/Uploads/Public/Documents/charge-masters/charge-masters-2024/752905434_mountainview-regional-medical-center_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.159255+00:00,320086,LOVELACE REGIONAL HOSPITAL ROSWELL,SKIPPED,https://coc.ardenthealthservices.com/newmexico/85-0327237_Lovelace-Regional-Hospital-Roswell_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.159259+00:00,320087,CHRISTUS ST. VINCENT ORTHOPAEDIC SPECIALTY CLINIC,SKIPPED,https://www.christushealth.org/-/media/christus-health/plan-care/files/bill-pay/machine-readable-files/850106941_stvincentregionalmedicalcenter_standardcharges.json,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.159263+00:00,320090,PRESBYTERIAN SANTA FE MEDICAL CENTER,SKIPPED,https://onbaseext.phs.org/PEL/DisplayDocument?ContentID=PEL_00954559,,,No scraper for format: None,
2026-01-28T19:31:29.159267+00:00,321302,DR DAN C TRIGG MEMORIAL HOSPITAL,SKIPPED,https://onbaseext.phs.org/PEL/DisplayDocument?ContentID=PEL_00954561,,,No scraper for format: None,
2026-01-28T19:31:29.159271+00:00,321305,NOR LEA DISTRICT HOSPITAL,SKIPPED,https://machine-readable-files.com/nor-lea-hospital-district/850278235_Nor-Lea-Hospital-District_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.159275+00:00,321307,MINERS COLFAX MEDICAL CENTER,SKIPPED,https://minershosp.slicedhealth.io/pricer/85-0323546_MinersColfaxMedicalCenter_standardcharges.CSV,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.159279+00:00,321308,CIBOLA GENERAL HOSPITAL,SKIPPED,https://cibolahospital.com/wp-content/uploads/sites/257/2025/12/850141285_cibola-general-hospital_standardcharges.csv,,,Data is 1.5 days old (max age: 30),
2026-01-28T19:31:29.159283+00:00,321306,LINCOLN COUNTY MEDICAL CENTER,SKIPPED,https://onbaseext.phs.org/PEL/DisplayDocument?ContentID=PEL_00954562,,,No scraper for format: None,
2026-01-28T19:31:29.159287+00:00,321309,MIMBRES MEMORIAL HOSPITAL,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbMMHDEMINGNM&type=CDMWithoutLabel&fileType=CSV,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.159292+00:00,321311,GILA REGIONAL MEDICAL CENTER,SKIPPED,http://machine-readable-files.com/gila-medical-center/856000321_Gila-Regional-Medical-Center_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.159295+00:00,322002,KINDRED HOSPITAL - ALBUQUERQUE,SKIPPED,https://hospitalpricedisclosure.com/download.aspx?pi=OC*__*g5zGZDVTLbrwoe0Ne*__*Q*-*,,,Data is 0.8 days old (max age: 30),
