date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.136733+00:00,370001,HILLCREST MEDICAL CENTER,SKIPPED,https://coc.ardenthealthservices.com/oklahoma/77-0633896_AHS-Hillcrest-Medical-Center_standardcharges.csv,,,Data is 1.9 days old (max age: 30),
2026-01-28T19:31:29.136743+00:00,370004,INTEGRIS MIAMI HOSPITAL,SKIPPED,https://hospitalpricedisclosure.com/Download.aspx?pxi=pVP5UiW3I*__*Y*_*TJMcttiiiA*-*&f=1Uqk9sV2mcxtBmvoqWiwog*-*,,,Data is 1.9 days old (max age: 30),
2026-01-28T19:31:29.136751+00:00,370006,INTEGRIS HEALTH PONCA CITY HOSPITAL,SKIPPED,https://hospitalpricedisclosure.com/Download.aspx?pxi=xO*_*y3fOOMLGcE*__*jd2jdm*_*A*-*&f=1Uqk9sV2mcxtBmvoqWiwog*-*,,,Data is 1.9 days old (max age: 30),
2026-01-28T19:31:29.136758+00:00,370008,NORMAN REGIONAL HOSPITAL,SKIPPED,https://www.normanregional.com/documents/736048282_norman-regional-health-system_standardcharges.csv,,,Data is 1.9 days old (max age: 30),
2026-01-28T19:31:29.136765+00:00,370013,MERCY HOSPITAL OKLAHOMA CITY,SKIPPED,https://www.mercy.net/content/dam/mercy/en/web-assets/charge-files/730579285_mercy-hospital-oklahoma-city_standardcharges.zip,,,Data is 1.6 days old (max age: 30),
2026-01-28T19:31:29.136772+00:00,370014,ALLIANCEHEALTH DURANT,SKIPPED,https://www.alliancehealthdurant.com/Uploads/Public/Documents/charge-masters/charge-masters-2024/581725656_alliancehealth-durant_standardcharges.csv,,,Data is 1.6 days old (max age: 30),
2026-01-28T19:31:29.136779+00:00,370015,HILLCREST HOSPITAL PRYOR,SKIPPED,https://coc.ardenthealthservices.com/oklahoma/82-0651263_Hillcrest-Hospital-Pyror_standardchanges.csv,,,Data is 1.9 days old (max age: 30),
2026-01-28T19:31:29.136787+00:00,370016,INTEGRIS HEALTH ENID HOSPITAL,SKIPPED,https://hospitalpricedisclosure.com/Download.aspx?pxi=DGoqeRgxZD8421GymxBLnQ*-*&f=1Uqk9sV2mcxtBmvoqWiwog*-*,,,Data is 1.9 days old (max age: 30),
2026-01-28T19:31:29.136794+00:00,370020,MERCY HOSPITAL ADA,SKIPPED,https://www.mercy.net/content/dam/mercy/en/web-assets/charge-files/462288155_mercy-hospital-ada_standardcharges.zip,,,Data is 1.6 days old (max age: 30),
2026-01-28T19:31:29.136800+00:00,370022,JACKSON COUNTY MEMORIAL HOSPITAL,SKIPPED,https://mrfs.hyvehealthcare.com/JacksonCountyMemorialHospital/730568956_jackson-county-memorial-hospital_standardcharges.json,,,Data is 1.9 days old (max age: 30),
2026-01-28T19:31:29.136806+00:00,370023,DUNCAN REGIONAL HOSPITAL,SKIPPED,https://mrfs.hyvehealthcare.com/DuncanRegionalHealth/731008550_duncan-regional-hospital_standardcharges.json,,,Data is 1.9 days old (max age: 30),
2026-01-28T19:31:29.136813+00:00,370026,ST. MARY'S REGIONAL MEDICAL CENTER,SKIPPED,https://uhsfilecdn.eskycity.net/ac/233041933_st-marys-regional-medical-center_standardcharges.csv,,,Data is 1.9 days old (max age: 30),
2026-01-28T19:31:29.136819+00:00,370030,STILLWATER MEDICAL BLACKWELL,SKIPPED,https://mrfs.hyvehealthcare.com/StillwaterMedicalCenter/730927647_stillwater-medical-center-ok_standardcharges.json,,,Data is 1.9 days old (max age: 30),
2026-01-28T19:31:29.136825+00:00,370032,INTEGRIS BAPTIST MEDICAL CENTER PORTLAND AVENUE,SKIPPED,https://hospitalpricedisclosure.com/Download.aspx?pxi=BjroEz8c5o*_*7mZ2xptt3iw*-*&f=1Uqk9sV2mcxtBmvoqWiwog*-*,,,Data is 1.9 days old (max age: 30),
2026-01-28T19:31:29.136830+00:00,370034,MCALESTER REGIONAL HEALTH CENTER,SKIPPED,https://mrfs.hyvehealthcare.com/McAlesterRegionalHealth/730992978_mcalester-regional-health-center_standardcharges.json,,,Data is 1.9 days old (max age: 30),
2026-01-28T19:31:29.136835+00:00,370037,SSM HEALTH ST. ANTHONY HOSPITAL-OKLAHOMA CITY,SKIPPED,https://hospitalpricedisclosure.com/download.aspx?pi=M2SKXYB41FA7AYa33bp9XQ*-*&f=p22CpYLrWLxCnt4HoK7iZA*-*,,,Data is 1.2 days old (max age: 30),
2026-01-28T19:31:29.136839+00:00,370039,HILLCREST HOSPITAL CLAREMORE,SKIPPED,https://coc.ardenthealthservices.com/oklahoma/45-2652006_Hillcrest-Hospital-Claremore_standardcharges.csv,,,Data is 1.9 days old (max age: 30),
2026-01-28T19:31:29.136843+00:00,370047,MERCY HOSPITAL ARDMORE,SKIPPED,https://www.mercy.net/content/dam/mercy/en/web-assets/charge-files/731500629_mercy-hospital-ardmore_standardcharges.zip,,,Data is 1.2 days old (max age: 30),
2026-01-28T19:31:29.136847+00:00,370025,SAINT FRANCIS HOSPITAL MUSKOGEE,SKIPPED,https://www.saintfrancis.com/finance/sfhm-cms-hpt,,,No scraper for format: None,
