date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.150789+00:00,390001,GEISINGER COMMUNITY MEDICAL CENTER,SKIPPED,https://www.geisinger.org/-/media/OneGeisinger/pdfs/ghs/patient-care/patients-and-visitors/billing-and-insurance/hosp-charges-csv/24-0862246_Geisinger-Community-Medical-Center_standardcharges,,,No scraper for format: None,
2026-01-28T19:31:29.150796+00:00,390002,UPMC MCKEESPORT,SKIPPED,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250965423_upmc-mckeesport_standardcharges.csv?la=en&rev=ac8e1b5d56804c608e3342eeb031af50&hash=5A33C41A0E1F70D8A3DC396928E4D86D,,,Data is 8.3 days old (max age: 30),
2026-01-28T19:31:29.150802+00:00,390004,PENN STATE HEALTH HOLY SPIRIT MEDICAL CENTER,SKIPPED,https://www.pennstatehealth.org/sites/default/files/Finance/December-2024/231512747_Penn-State-Health-Holy-Spirit-Medical-Center_standardcharges.csv,,,Data is 8.3 days old (max age: 30),
2026-01-28T19:31:29.150807+00:00,390003,GEISINGER-BLOOMSBURG HOSPITAL,SKIPPED,https://www.geisinger.org/-/media/OneGeisinger/pdfs/ghs/patient-care/patients-and-visitors/billing-and-insurance/hosp-charges-csv/23-2193572_Geisinger-Bloomsburg-Hospital_standardcharges,,,No scraper for format: None,
2026-01-28T19:31:29.150812+00:00,390006,GEISINGER MEDICAL CENTER,SKIPPED,https://cdn.geisinger.org/content/ghs/24-0795959_Geisinger-Medical-Center_standardcharges.csv,,,Data is 8.3 days old (max age: 30),
2026-01-28T19:31:29.150816+00:00,390012,JEFFERSON LANSDALE HOSPITAL,SKIPPED,https://use2webtechstgpricelist.blob.core.windows.net/pricelist/Complete%20File/263359979_jefferson-lansdale-hospital_standardcharges.csv,,,Data is 1.5 days old (max age: 30),
2026-01-28T19:31:29.150821+00:00,390009,AHN SAINT VINCENT HOSPITAL,SKIPPED,https://www.ahn.org/content/dam/ahn/en/dmxahn/documents/patients-visitors/patients/financial-services/hospital-charges/250965547_Saint-Vincent-Hospital_standardcharges.csv,,,Data is 8.3 days old (max age: 30),
2026-01-28T19:31:29.150826+00:00,390016,UPMC JAMESON,SKIPPED,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250965406_upmc-jameson_standardcharges.csv?la=en&rev=5b2881ff09624c6789ef3d6d3f625d66&hash=895B2E15B452CAF6FFC247DA9F10F897,,,Data is 8.3 days old (max age: 30),
2026-01-28T19:31:29.150831+00:00,390026,TEMPLE HEALTH - CHESTNUT HILL HOSPITAL,SKIPPED,https://www.templehealth.org/sites/default/files/file/2025-04/883577015_Temple%20Health%20_Chestnut%20Hill-standard%20charges_010125.csv,,,Data is 8.3 days old (max age: 30),
2026-01-28T19:31:29.150836+00:00,390013,WELLSPAN EVANGELICAL COMMUNITY HOSPITAL,SKIPPED,https://www.evanhospital.com/download/?id=9731,,,No scraper for format: None,
2026-01-28T19:31:29.150840+00:00,390027,TEMPLE UNIVERSITY HOSPITAL - MAIN CAMPUS,SKIPPED,https://www.templehealth.org/sites/default/files/file/2025-04/232825878_Temple_University_Main_standardcharges.csv,,,Data is 8.3 days old (max age: 30),
2026-01-28T19:31:29.150844+00:00,390027,TEMPLE UNIVERSITY HOSPITAL - NORTHEASTERN CAMPUS,SKIPPED,https://www.templehealth.org/sites/default/files/file/2025-04/232825878_Temple_University%20Hosp_Northeastern_standardcharges.csv,,,Data is 8.3 days old (max age: 30),
2026-01-28T19:31:29.150849+00:00,390028,UPMC MERCY,SKIPPED,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250965429_upmc-mercy_standardcharges.csv?la=en&rev=a02dcb925f3f46dc9048d158c1068950&hash=2A6C27C863438BD87C20177D278D9B9D,,,Data is 8.3 days old (max age: 30),
2026-01-28T19:31:29.150853+00:00,390030,LEHIGH VALLEY HOSPITAL - SCHUYLKILL S. JACKSON STREET,SKIPPED,https://lvhn.pt.panaceainc.com/MRFDownload/lvhn/schuylkill,,,Data is 1.5 days old (max age: 30),
2026-01-28T19:31:29.150857+00:00,390031,LEHIGH VALLEY HOSPITAL - SCHUYLKILL EAST NORWEGIAN STREET,SKIPPED,https://lvhn.pt.panaceainc.com/MRFDownload/lvhn/schuylkill,,,Data is 1.5 days old (max age: 30),
