date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.138782+00:00,410006,NEWPORT HOSPITAL,SKIPPED,https://www.brownhealth.org/sites/default/files/2025-01/05-0258914_newport-hospital_standardcharges.zip,,,Data is 6.8 days old (max age: 30),
2026-01-28T19:31:29.138788+00:00,410007,RHODE ISLAND HOSPITAL,SKIPPED,https://www.brownhealth.org/sites/default/files/2025-01/05-0258954_rhode-island-hospital_standardcharges.zip,,,Data is 6.8 days old (max age: 30),
2026-01-28T19:31:29.138793+00:00,410004,ROGER WILLIAMS MEDICAL CENTER,FAILURE,https://sthpiprd.blob.core.windows.net/machine-readable-files/7917/464648465_chartercare-roger-williams_standardcharges.csv,,PermanentHTTPError,Server returned 404,0.48
2026-01-28T19:31:29.138800+00:00,410008,SOUTH COUNTY HEALTH,SKIPPED,https://d11mkob3ld6ys.cloudfront.net/documents/050445136_south-county-hospital_standardcharges.csv,,,Data is 6.8 days old (max age: 30),
2026-01-28T19:31:29.138804+00:00,410005,OUR LADY OF FATIMA HOSPITAL,FAILURE,https://sthpiprd.blob.core.windows.net/machine-readable-files/7916/464661337_chartercare-our-lady-fatima_standardcharges.csv,,PermanentHTTPError,Server returned 404,0.49
2026-01-28T19:31:29.138808+00:00,410009,KENT COUNTY MEMORIAL HOSPITAL,SKIPPED,https://www.carenewengland.org/cs/c/?cta_guid=82a582bd-8e20-4bb8-8def-ac28d8a53ef7&signature=AAH58kF3qi5oxqPQ9FxEdJ0I-z9CFCtI-A&portal_id=6898349&pageId=39262948478&placement_guid=a17577ba-9988-4aa8-80e2-15f58382b446&click=bcd43ea8-c158-4967-b25a-9c65fcf15a63&redirect_url=APefjpEBGKVDGSB6PrvYTdzVYXbKfh__J53dXzeo4vGJ0B3Dgo4ODW2wglBU1Wyie7HH9RD1opgVjHiso4RV0IEYQqneKxWWR_MxtI_CTvMvs0yWiEPEq7zd1NvYqMAeNfv9zgaNiN9WxXIUF3G2S5QX7D8VY_hYn1yGaNbJWWTgPKcF2COHx9YdacLAj79LuxiHd0xERAWu&hsutk=97de4922fd9272e1fd841d324c698a3e&canon=https%3A%2F%2Fwww.carenewengland.org%2Fprice-transparency&ts=1738887460581&__hstc=73991757.97de4922fd9272e1fd841d324c698a3e.1738887460661.1738887460661.1738887460661.1&__hssc=73991757.1.1738887460661&__hsfp=639849028&contentType=standard-page,,,No scraper for format: None,
2026-01-28T19:31:29.138816+00:00,410011,LANDMARK MEDICAL CENTER,SKIPPED,https://landmarkmedical.org/wp-content/uploads/2024/12/461175423_LandmarkMedicalCenter_standardcharges.json,,,Data is 6.8 days old (max age: 30),
2026-01-28T19:31:29.138820+00:00,410010,WOMEN AND INFANTS HOSPITAL,SKIPPED,https://www.carenewengland.org/cs/c/?cta_guid=80520327-161b-4d26-a063-a8cc9c808f91&signature=AAH58kH0SYqn9cmHTvP_gHPSEkcGJ0vpqw&portal_id=6898349&pageId=39262948478&placement_guid=f26648df-9d0e-4342-98bc-0a4a5852eae5&click=5a92531f-bbdf-4f9a-a918-384da07eba66&redirect_url=APefjpFdRfMWvr9yuktbsyAhoPWShTITNkq7bpYOahOEpGzcggKIklqUA0xxOI_am6i7eSWIFN7EBkN7AEwi37dt_h2EOgnm-q1yhjOpVRSyktHCJjULKApVw5s34BUYGLgjsYrwbLonKKVk8DTC2erNFnZIyFGA-Q5iH_gv4Ty1_tRVTF8QyoBla-OEYc0OrBOkVJ_TTZdqKtAsPy66LyFa0bTXDr-Mdw&hsutk=97de4922fd9272e1fd841d324c698a3e&canon=https%3A%2F%2Fwww.carenewengland.org%2Fprice-transparency&ts=1738887460672&__hstc=73991757.97de4922fd9272e1fd841d324c698a3e.1738887460661.1738887460661.1738887460661.1&__hssc=73991757.1.1738887460661&__hsfp=639849028&contentType=standard-page,,,No scraper for format: None,
2026-01-28T19:31:29.138828+00:00,410012,THE MIRIAM HOSPITAL,SKIPPED,https://www.brownhealth.org/sites/default/files/2025-01/05-0258905_the-miriam-hospital_standardcharges.zip,,,Data is 6.8 days old (max age: 30),
2026-01-28T19:31:29.138832+00:00,410013,WESTERLY HOSPITAL,SKIPPED,https://www.westerlyhospital.org/-/media/Files/YNHHS/sc/46-0543230-Westerly_Hospital_Standard_Charges-1.ashx,,,Data is 6.8 days old (max age: 30),
2026-01-28T19:31:29.138835+00:00,413025,REHABILITATION HOSPITAL OF RHODE ISLAND,SKIPPED,https://www.rehabhospitalri.com/docs/irfrehabilitationhospitalofrhodeislandlibraries/aug2025/844845184_rhodeislandrehabilitationhospital_standardcharges.csv.zip,,,Data is 6.8 days old (max age: 30),
2026-01-28T19:31:29.138840+00:00,414003,BRADLEY HOSPITAL,SKIPPED,https://www.brownhealth.org/sites/default/files/2025-01/05-0258806_emma-pendleton-bradley-hospital_standardcharges.zip,,,Data is 6.8 days old (max age: 30),
2026-01-28T19:31:29.138844+00:00,414000,BUTLER HOSPITAL,SKIPPED,https://www.carenewengland.org/cs/c/?cta_guid=4fe0b3b9-f48a-4455-bc8d-9024ae61d3ba&signature=AAH58kHQn-0O-V9fRlfycaOYPOC0G8yszg&portal_id=6898349&pageId=39262948478&placement_guid=c1b8001c-44eb-43b7-87b4-f41fbb96fcf9&click=cf372f19-eb8f-47b6-ac89-086ef78a79fc&redirect_url=APefjpGZ_KIidYVlNfo5qUxw231nCTgANr0A5excVq3i1wXmXZzBU4xGRE0YCLifKKIAKDP9mnreR8fOiq3eNo59oKwrhehjTVIfiQjJPbk57D7jPCysdEh8nlTm2wpXqqsP7ifYfO2Es9mCU5scMWl6W-eSlfWkeTQgPxpPlIP5IG5zg4KTWdC-2LS3xjkQbO5lXI8QSReASl_shHq-0IssWAoGy5YSrA&hsutk=97de4922fd9272e1fd841d324c698a3e&canon=https%3A%2F%2Fwww.carenewengland.org%2Fprice-transparency&ts=1738887460806&__hstc=73991757.97de4922fd9272e1fd841d324c698a3e.1738887460661.1738887460661.1738887460661.1&__hssc=73991757.1.1738887460661&__hsfp=639849028&contentType=standard-page,,,No scraper for format: None,
2026-01-28T19:31:29.138852+00:00,413026,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF JOHNSTON,SUCCESS,https://edge.sitecorecloud.io/encompasshee178-encompasshed9db-prodb258-07da/media/Project/EncompassHealth/encompasshealth/Files/1-price-transparency/841754425_Encompass-Health-Rehabilitation-Hospital-of-Johnston_standardcharges.csv,,,,6.31
