date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.155823+00:00,420002,PIEDMONT MEDICAL CENTER,SKIPPED,https://mrfs.hyvehealthcare.com/TenetHealth/953561198_PiedmontMedicalCenter_standardcharges.json,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155827+00:00,420004,MUSC HEALTH UNIVERSITY MEDICAL CENTER,SKIPPED,https://muschealth.org/-/sm/health/patients-visitors/billing/f/571098556_musc-health-medical-center_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155832+00:00,420005,MCLEOD MEDICAL CENTER-DILLON,SKIPPED,https://www.mcleodhealth.org/wp-content/uploads/price-transparency/51-0473471_mcleod-health-dillon_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155838+00:00,420007,SPARTANBURG MEDICAL CENTER,SKIPPED,https://www.spartanburgregional.com/sites/default/files/2025-01/576000934_spartanburg-medical-center_standardcharges.json,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155842+00:00,420009,PRISMA HEALTH OCONEE MEMORIAL HOSPITAL,SKIPPED,https://prismahealth.org/getmedia/71ee3faf-fdfc-439a-8799-cc8a5794c07d/811723202_prisma-health-oconee-memorial-hospital_standardcharges-csv-zip.zip,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155846+00:00,420010,CAROLINA PINES REGIONAL MEDICAL CENTER,SKIPPED,https://hospitalpricedisclosure.com/download.aspx?pi=iQ*__*xBZskGDGvutD7kLWDDg*-*,,,Data is 0.8 days old (max age: 30),
2026-01-28T19:31:29.155850+00:00,420011,ANMED HEALTH CANNON MEMORIAL HOSPITAL,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/12030/570342027_anmed-health-cannon_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155854+00:00,420015,PRISMA HEALTH BAPTIST EASLEY HOSPITAL,SKIPPED,https://prismahealth.org/getmedia/5f1d387d-be29-44f4-8abb-cc046006b554/811723202_prisma-health-baptist-easley-hospital_standardcharges-csv-zip.zip,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155858+00:00,420018,PRISMA HEALTH RICHLAND HOSPITAL,SKIPPED,https://prismahealth.org/getmedia/0f087ccd-2924-4d94-9299-1fb0e8de8174/58-2296052_Prisma-Health-Richland_standardcharges-csv.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.155863+00:00,420019,MUSC HEALTH CHESTER MEDICAL CENTER,SKIPPED,https://muschealth.org/-/sm/health/patients-visitors/billing/f/571098556_musc-health-chester-medical-center_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155867+00:00,420026,MUSC HEALTH COLUMBIA MEDICAL CENTER DOWNTOWN,SKIPPED,https://muschealth.org/-/sm/health/patients-visitors/billing/f/571098556_musc-health-columbia-medical-center-downtown_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155871+00:00,420027,ANMED HEALTH MEDICAL CENTER,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/12029/570359174_anmed-health_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155876+00:00,420030,COLLETON MEDICAL CENTER,SKIPPED,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/57-0712623_HCA-Healthcare-Colleton-Hospital_standardcharges.json?si=pt-json-access-policy&spr=https&sv=2024-11-04&sr=c&sig=o5IofreS%2F7ETlsnhPakPWCwHVVUZRobywQ5wUKGjVuQ%3D,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155880+00:00,420033,PRISMA HEALTH GREER MEMORIAL HOSPITAL,SKIPPED,https://prismahealth.org/getmedia/994a9a91-396d-4c56-928e-ea15c7fa5b26/811723202_prisma-health-greer-memorial-hospital_standardcharges-csv-zip.zip,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155885+00:00,420036,MUSC HEALTH LANCASTER MEDICAL CENTER,SKIPPED,https://muschealth.org/-/sm/health/patients-visitors/billing/f/571098556_musc-health-lancaster-medical-center_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155889+00:00,420037,PRISMA HEALTH HILLCREST HOSPITAL,SKIPPED,https://prismahealth.org/getmedia/2897ad82-effc-4f7f-890b-fdde8ab8c4c8/811723202_prisma-health-hillcrest-hospital_standardcharges-csv-zip.zip,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155893+00:00,420038,PRISMA HEALTH LAURENS COUNTY HOSPITAL,SKIPPED,https://prismahealth.org/getmedia/b07db901-d908-4d3a-9393-5a3a22d1c9b9/811723202_prisma-health-laurens-county-hospital_standardcharges-csv-zip.zip,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155898+00:00,420043,CHEROKEE MEDICAL CENTER,SKIPPED,https://www.spartanburgregional.com/sites/default/files/2025-07/832531807_cherokee-medical-center_standardcharges.json,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155902+00:00,420020,TIDELANDS GEORGETOWN MEMORIAL HOSPITAL,FAILURE,https://www.tidelandshealth.org/app/files/public/ab2f55e8-2c25-4555-828c-499088c05e8e/043633263_WaccamawCommunityHospital_standardcharges.csv,,PermanentHTTPError,Server returned 403,0.50
2026-01-28T19:31:29.155907+00:00,420048,MUSC HEALTH KERSHAW MEDICAL CENTER,SKIPPED,https://muschealth.org/-/sm/health/patients-visitors/billing/f/571098556_musc-health-kershaw-medical-center_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155911+00:00,420049,CONWAY MEDICAL CENTER,SKIPPED,https://www.conwaymedicalcenter.com/wp-content/uploads/2025/07/570314381_conway-medical-center_standardcharges-FINAL.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155915+00:00,420051,MCLEOD REGIONAL MEDICAL CENTER,SKIPPED,https://www.mcleodhealth.org/wp-content/uploads/price-transparency/57-0370242_mcleod-regional-medical-center_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155919+00:00,420053,NEWBERRY COUNTY MEMORIAL HOSPITAL,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/8016/570324929_newberry-county-memorial-hospital_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155924+00:00,420055,MUSC HEALTH MARION MEDICAL CENTER,SKIPPED,https://muschealth.org/-/sm/health/patients-visitors/billing/f/571098556_musc-health-marion-medical-center_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155928+00:00,420023,BON SECOURS ST FRANCIS DOWNTOWN,FAILURE,https://www.bonsecours.com/-/media/bon-secours/patients-and-visitors/corporate/pricing/582504530_st-francis-downtown_standardcharges.ashx,,ValueError,Server returned HTML instead of CSV (Content-Type: text/html; charset=utf-8),0.80
2026-01-28T19:31:29.155933+00:00,420065,BON SECOURS ST FRANCIS HOSPITAL,SKIPPED,https://www.rsfh.com/upload/docs/Patients and Visitors/571067254_bon-secours-st-francis-xavier-hospital-inc_standardcharges.csv,,,Data is 0.1 days old (max age: 30),
2026-01-28T19:31:29.155937+00:00,420067,BEAUFORT MEMORIAL HOSPITAL,SKIPPED,https://www.bmhsc.org/sites/default/files/2024-10/576000094_beaufortmemorialhospital_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155941+00:00,420068,MUSC HEALTH - ORANGEBURG,SKIPPED,https://muschealth.org/-/sm/health/patients-visitors/billing/f/571098556_musc-health-columbia-medical-center-downtown_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155944+00:00,420071,SELF REGIONAL HEALTHCARE,SKIPPED,https://www.selfregional.org/media/570331865_Self-Regional-Healthcare_standardcharges_csv.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155948+00:00,420070,PRISMA HEALTH TUOMEY HOSPITAL,SKIPPED,https://prismahealth.org/getmedia/3fd77ab9-5a27-4e66-85dc-2e287fa309a5/474914917_prisma-health-tuomey-hospital_standardcharges-csv-zip.zip,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155952+00:00,420072,HAMPTON REGIONAL MEDICAL CENTER,SKIPPED,http://machine-readable-files.com/hampton-regional-hospital/571017988_Hampton-Regional-Medical-Center_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155956+00:00,420078,PRISMA HEALTH GREENVILLE MEMORIAL HOSPITAL,SKIPPED,https://prismahealth.org/getmedia/1cc0d702-4ecf-49c8-9b3c-ab00639ad31a/81-1723202_prisma-health-greenville-memorial-hospital_standardcharges-csv.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.155961+00:00,420080,NOVANT HEALTH HILTON HEAD MEDICAL CENTER,SKIPPED,https://www2.novanthealth.org/Public_Files/regulatory/934604680_HiltonHeadHospital_standardcharges.json,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155966+00:00,420079,TRIDENT MEDICAL CENTER,SKIPPED,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/62-1768106_HCA-Healthcare-Trident-Hospital_standardcharges.json?si=pt-json-access-policy&spr=https&sv=2024-11-04&sr=c&sig=o5IofreS%2F7ETlsnhPakPWCwHVVUZRobywQ5wUKGjVuQ%3D,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155971+00:00,420082,AIKEN REGIONAL MEDICAL CENTER,SKIPPED,https://uhsfilecdn.eskycity.net/ac/232791808_aiken-regional-medical-center_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155975+00:00,420083,SPARTANBURG MEDICAL CENTER - MARY BLACK CAMPUS,SKIPPED,https://www.spartanburgregional.com/sites/default/files/2025-01/576000934_spartanburg-medical-center_standardcharges.json,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155979+00:00,420085,GRAND STRAND REGIONAL MEDICAL CENTER,SKIPPED,https://www.hcadam.com/api/public/content/f2d8d6b1ce904dd3a542034572bc976a?download=true,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155982+00:00,420086,PRISMA HEALTH BAPTIST HOSPITAL,SKIPPED,https://prismahealth.org/getmedia/b5a94f7f-0335-47bd-b6f7-011ad4c227fc/582296052_prisma-health-baptist-columbia-hospital_standardcharges-csv-zip.zip,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155986+00:00,420087,ROPER HOSPITAL,SKIPPED,https://www.rsfh.com/upload/docs/Patients%20and%20Visitors/570828733_roper-hospital-inc_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155990+00:00,420089,NOVANT HEALTH EAST COOPER MEDICAL CENTER,SKIPPED,https://www2.novanthealth.org/Public_Files/regulatory/934555562_EastCooperMedicalCenter_standardcharges.json,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155994+00:00,420091,MUSC HEALTH FLORENCE MEDICAL CENTER,SKIPPED,https://muschealth.org/-/sm/health/patients-visitors/billing/f/571098556_musc-health-florence-medical-center_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.155998+00:00,420101,NOVANT HEALTH COASTAL CAROLINA HOSPITAL,SKIPPED,https://www2.novanthealth.org/Public_Files/regulatory/934580630_CoastalCarolinaHospital_standardcharges.json,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.156002+00:00,420102,PRISMA HEALTH PATEWOOD HOSPITAL,SKIPPED,https://prismahealth.org/getmedia/8345af32-6808-4749-9cfe-4bb5c64a2238/811723202_prisma-health-patewood-hospital_standardcharges-csv-zip.zip,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.156006+00:00,420104,ROPER ST. FRANCIS MOUNT PLEASANT HOSPITAL,SKIPPED,https://www.rsfh.com/upload/docs/Patients and Visitors/571067254_bon-secours-st-francis-xavier-hospital-inc_standardcharges.csv,,,Data is 0.1 days old (max age: 30),
2026-01-28T19:31:29.156010+00:00,420103,PELHAM MEDICAL CENTER,SKIPPED,https://www.spartanburgregional.com/sites/default/files/2025-07/141996067_pelham-medical-center_standardcharges.json,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.156015+00:00,420105,MCLEOD LORIS,SKIPPED,https://www.mcleodhealth.org/wp-content/uploads/price-transparency/45-3576100_mcleod-health-loris_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.156019+00:00,420106,PRISMA HEALTH BAPTIST PARKRIDGE HOSPITAL,SKIPPED,https://prismahealth.org/getmedia/878eb302-b35b-4dfe-8432-a6a1018ebc9b/582296052_prisma-health-baptist-parkridge-hospital_standardcharges-csv-zip.zip,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.156024+00:00,420107,MCLEOD HEALTH CHERAW,SKIPPED,https://www.mcleodhealth.org/wp-content/uploads/price-transparency/47-3712858_mcleod-health-cheraw_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.156028+00:00,420108,UNION MEDICAL CENTER,SKIPPED,https://www.spartanburgregional.com/sites/default/files/2025-07/474491361_union-medical-center_standardcharges.json,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.156032+00:00,420109,MCLEOD HEALTH CLARENDON,SKIPPED,https://www.mcleodhealth.org/wp-content/uploads/price-transparency/81-2772554_mcleod-health-clarendon_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.156036+00:00,420073,LEXINGTON MEDICAL CENTER,FAILURE,https://www.lexmed.com/docs/patients/852276567_lexington_medical_center_standardcharges.json,,ValueError,Server returned HTML instead of JSON (Content-Type: text/html; charset=utf-8),0.50
2026-01-28T19:31:29.156041+00:00,420110,ROPER ST FRANCIS BERKELEY HOSPITAL,SKIPPED,https://www.rsfh.com/upload/docs/Patients and Visitors/571067254_bon-secours-st-francis-xavier-hospital-inc_standardcharges.csv,,,Data is 0.1 days old (max age: 30),
2026-01-28T19:31:29.156044+00:00,421301,ABBEVILLE AREA MEDICAL CENTER,SKIPPED,https://machine-readable-files.com/abbeville-area-medical-center/576000003_Abbeville-Area-Medical-Center_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.156048+00:00,421304,EDGEFIELD COUNTY HOSPITAL,SKIPPED,https://www.selfregional.org/media/570331865_Self-Regional-Healthcare_standardcharges_csv.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.156052+00:00,422004,SPARTANBURG HOSPITAL FOR RESTORATIVE CARE,SKIPPED,https://www.spartanburgregional.com/sites/default/files/2025-07/571032061_spartanburg-hospital-for-restorative-care_standardcharges.json,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.156056+00:00,422008,PRISMA HEALTH NORTH GREENVILLE HOSPITAL,SKIPPED,https://prismahealth.org/getmedia/b16c4178-792a-4a20-adf0-1544c81381a5/811723202_prisma-health-north-greenville-hospital_standardcharges-csv-zip.zip,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.156061+00:00,421300,ALLENDALE COUNTY HOSPITAL,FAILURE,https://allendalecountyhospital.pg.quadax.revenuemasters.com/cdm-files/576001334_allendale-county-hospital_standardcharges.csv,,PermanentHTTPError,Server returned 404,0.28
2026-01-28T19:31:29.156065+00:00,422005,AMG SPECIALTY HOSPITAL CHARLESTON,SUCCESS,https://amgihm.com/wp-content/uploads/2025/02/331688126_charleston-amg-specialty-hospital_standardcharges.csv,,,,0.89
2026-01-28T19:31:29.156069+00:00,423030,GREENWOOD REGIONAL REHABILITATION HOSPITAL,SKIPPED,https://grrh.ernesthealth.com/wp-content/uploads/sites/8/2024/12/205991381_Greenwood-Regional-Rehabilitation-Hosptial_Standard-Charges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.156073+00:00,423031,SPARTANBURG REHABILITATION INSTITUTE,SKIPPED,https://sri.ernesthealth.com/wp-content/uploads/sites/28/2024/12/263108840_Spartanburg-Rehabilitation-Institute_Standard-Charges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.156078+00:00,423026,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF FLORENCE,SUCCESS,https://edge.sitecorecloud.io/encompasshee178-encompasshed9db-prodb258-07da/media/Project/EncompassHealth/encompasshealth/Files/1-price-transparency/570775688_Encompass-Health-Rehabilitation-Hospital-of-Florence_standardcharges.csv,,,,2.36
2026-01-28T19:31:29.156083+00:00,423034,MIDLANDS REGIONAL REHABILITATION HOSPITAL,SKIPPED,https://mrrh.ernesthealth.com/wp-content/uploads/sites/14/2024/12/834346681_Midlands-Regional-Rehabilitation-Hospital_Standard-Charges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.156088+00:00,423027,"MUSC HEALTH REHABILITATION HOSPITAL, AN AFFILIATE OF ENCOMPASS HEALTH",SUCCESS,https://edge.sitecorecloud.io/encompasshee178-encompasshed9db-prodb258-07da/media/Project/EncompassHealth/encompasshealth/Files/1-price-transparency/570904886_MUSC-Health-Rehabilitation-Hospital-an-affiliate-of-Encompass-Health_standardcharges.csv,,,,2.46
2026-01-28T19:31:29.156092+00:00,423032,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF BLUFFTON,SUCCESS,https://edge.sitecorecloud.io/encompasshee178-encompasshed9db-prodb258-07da/media/Project/EncompassHealth/encompasshealth/Files/1-price-transparency/811718775_Encompass-Health-Rehabilitation-Hospital-of-Bluffton_standardcharges.csv,,,,1.91
2026-01-28T19:31:29.156097+00:00,423300,SHRINERS' HOSPITAL FOR CHILDREN-GREENVILLE,SKIPPED,https://apim.services.craneware.com/api-pricing-transparency/api/public/c9cdb40cd7ee3f55ec6a0d0dc127827b/charges/mrf,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.156102+00:00,423416,MCLEOD MEDICAL CENTER-DARLINGTON,SKIPPED,https://www.mcleodhealth.org/wp-content/uploads/price-transparency/57-0370242_mcleod-regional-medical-center_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.156106+00:00,423028,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF ROCK HILL,SUCCESS,https://edge.sitecorecloud.io/encompasshee178-encompasshed9db-prodb258-07da/media/Project/EncompassHealth/encompasshealth/Files/1-price-transparency/571071353_Encompass-Health-Rehabilitation-Hospital-of-Rock-Hill_standardcharges.csv,,,,3.75
