date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.155556+00:00,430005,PRAIRIE LAKES HOSPITAL,SKIPPED,https://pricetransparency-cdn.azureedge.net/prairielakes/460391067_Prairie-Lakes-Health-Care-System-Inc._standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.155562+00:00,430027,SANFORD UNIVERSITY OF SOUTH DAKOTA MEDICAL CENTER,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/8368/460227855_sanford-usd-medical-center_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.155567+00:00,430012,AVERA SACRED HEART HOSPITAL,FAILURE,https://www.avera.org/app/files/public/613f57be-d5e6-4ac9-84b7-e886a47e46a2/420680370_avera-holy-family-hospital_standardcharges.csv,,PermanentHTTPError,Server returned 403,0.29
2026-01-28T19:31:29.155573+00:00,430015,AVERA ST MARY'S HOSPITAL,FAILURE,https://www.avera.org/app/files/public/613f57be-d5e6-4ac9-84b7-e886a47e46a2/420680370_avera-holy-family-hospital_standardcharges.csv,,PermanentHTTPError,Server returned 403,0.27
2026-01-28T19:31:29.155577+00:00,430077,MONUMENT HEALTH RAPID CITY HOSPITAL,SKIPPED,https://monument.health/wp-content/uploads/2025/07/460319070_Monument-Health-Rapid-City-Hospital_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.155582+00:00,430048,REGIONAL HEALTH SPEARFISH HOSPITAL,SKIPPED,https://monument.health/wp-content/uploads/2025/07/460360899_Monument-Health-Network-Inc-Spearfish-Hospital_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.155586+00:00,430089,DUNES SURGICAL HOSPITAL,SKIPPED,https://mrfs.hyvehealthcare.com/USPI/460423353_DunesSurgicalHospital_standardcharges.json,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.155590+00:00,430091,BLACK HILLS SURGICAL HOSPITAL,SKIPPED,https://bhsh.com/wp-content/uploads/2023/03/460440466_black-hills-surgical-hospital_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.155594+00:00,430093,SAME DAY SURGERY CENTER,SKIPPED,https://www.samedaysurgerycenter.org/cms-hpt.txt,,,No scraper for format: None,
2026-01-28T19:31:29.155598+00:00,430092,AVERA DAKOTA PLAINS SURGICAL CENTER,FAILURE,https://www.avera.org/app/files/public/613f57be-d5e6-4ac9-84b7-e886a47e46a2/420680370_avera-holy-family-hospital_standardcharges.csv,,PermanentHTTPError,Server returned 403,0.24
2026-01-28T19:31:29.155602+00:00,430097,SANFORD ABERDEEN MEDICAL CENTER,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/8384/460388596_sanford-aberdeen-medical-center_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.155607+00:00,430096,AVERA FOX RUN HEALTH CAMPUS,FAILURE,https://www.avera.org/app/files/public/613f57be-d5e6-4ac9-84b7-e886a47e46a2/420680370_avera-holy-family-hospital_standardcharges.csv,,PermanentHTTPError,Server returned 403,0.23
2026-01-28T19:31:29.155611+00:00,431300,MADISON COMMUNITY HOSPITAL,SKIPPED,https://madisonregionalhealth.org/wp-content/uploads/46-0228038_Madison_Regional_Health_System_standardcharges-July-2025-Prices.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.155615+00:00,431305,DOUGLAS COUNTY MEMORIAL HOSPITAL,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/8041/460400557_douglas-county-memorial-hospital_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.155619+00:00,430779,LANDMANN-JUNGMAN MEMORIAL HOSPITAL AVERA,FAILURE,https://www.avera.org/app/files/public/613f57be-d5e6-4ac9-84b7-e886a47e46a2/420680370_avera-holy-family-hospital_standardcharges.csv,,PermanentHTTPError,Server returned 403,0.23
2026-01-28T19:31:29.155623+00:00,431307,SANFORD CLEAR LAKE MEDICAL CENTER,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/8373/460388596_sanford-clear-lake-medical-center_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.155628+00:00,431302,AVERA MISSOURI RIVER HEALTH CENTER,FAILURE,https://www.avera.org/app/files/public/613f57be-d5e6-4ac9-84b7-e886a47e46a2/420680370_avera-holy-family-hospital_standardcharges.csv,,PermanentHTTPError,Server returned 403,0.22
2026-01-28T19:31:29.155632+00:00,430090,SIOUX FALLS SPECIALTY HOSPITAL,SUCCESS,https://clariti-health.com/csp/clariti/machinereadable/460382492_Sioux%20Falls%20Specialty%20Hospital_standardcharges.csv,,,,1.77
2026-01-28T19:31:29.155636+00:00,431309,COMMUNITY MEMORIAL HOSPITAL,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/8021/460219795_community-memorial-hospital_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
