date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.157222+00:00,460001,INTERMOUNTAIN HEALTH UTAH VALLEY HOSPITAL,SKIPPED,https://intermountainhealthcare.org/-/media/files/intermountain-health/locations/hospital-prices/942854057_utah-valley-hospital_standardcharges.ashx,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.157228+00:00,460003,COMMONSPIRIT - HOLY CROSS HOSPITAL - SALT LAKE,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/11399/621795214_holy-cross-hospital-salt-lake_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.157232+00:00,460004,INTERMOUNTAIN HEALTH MCKAY-DEE HOSPITAL,SKIPPED,https://intermountainhealthcare.org/-/media/files/intermountain-health/locations/hospital-prices/942854057_mckaydee-hospital-center_standardcharges.ashx,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.157237+00:00,460005,OGDEN REGIONAL MEDICAL CENTER,SKIPPED,https://www.hcadam.com/api/public/content/60297fd2cdf147a6bd8450b739878a54?download=true,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.157242+00:00,460006,INTERMOUNTAIN HEALTH LDS HOSPITAL,SKIPPED,https://intermountainhealthcare.org/-/media/files/intermountain-health/locations/hospital-prices/942854057_lds-hospital_standardcharges.ashx,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.157247+00:00,460008,COMMONSPIRIT HOLY CROSS HOSPITAL - JORDAN VALLEY WEST,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/11397/820588653_holy-cross-hospital-jordan-valley-west_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.157251+00:00,460010,INTERMOUNTAIN HEALTH INTERMOUNTAIN MEDICAL CENTER,SKIPPED,https://intermountainhealthcare.org/-/media/files/intermountain-health/locations/hospital-prices/942854057_intermountain-medical-center_standardcharges.ashx,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.157256+00:00,460013,MOUNTAIN VIEW HOSPITAL PAYSON,SKIPPED,https://www.hcadam.com/api/public/content/ed92b53525bd4968b7a7fc42d1e3b85d?download=true,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.157260+00:00,460014,MOUNTAIN WEST MEDICAL CENTER,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbMWMCTOOELEUT&type=CDMWithoutLabel&fileType=CSV,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.157264+00:00,460015,INTERMOUNTAIN HEALTH LOGAN REGIONAL HOSPITAL,SKIPPED,https://intermountainhealthcare.org/-/media/files/intermountain-health/locations/hospital-prices/942854057_logan-regional-hospital_standardcharges.ashx,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.157269+00:00,460019,UINTAH BASIN MEDICAL CENTER,SKIPPED,https://s16736.pcdn.co/wp-content/uploads/sites/534/2021/11/460019_UintahBasinMedicalCenter_standardcharges.xlsx,,,Data is 0.8 days old (max age: 30),
2026-01-28T19:31:29.157272+00:00,460021,INTERMOUNTAIN HEALTH ST. GEORGE REGIONAL HOSPITAL,SKIPPED,https://intermountainhealthcare.org/-/media/files/intermountain-health/locations/hospital-prices/942854057_st-george-regional-hospital_standardcharges.ashx,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.157277+00:00,460026,INTERMOUNTAIN HEALTH SEVIER VALLEY HOSPITAL,SKIPPED,https://intermountainhealthcare.org/-/media/files/intermountain-health/locations/hospital-prices/942854057_sevier-valley-hospital_standardcharges.ashx,,,Data is 1.8 days old (max age: 30),
2026-01-28T19:31:29.157281+00:00,460030,ASHLEY REGIONAL MEDICAL CENTER,SKIPPED,https://www.ashleyregional.com/docs/ahashleyregionalmedicalcenterlibraries/hcl/mrf2q25/621762532_ashley-regional-medical-center_standardcharges.csv,,,Data is 0.1 days old (max age: 30),
2026-01-28T19:31:29.157286+00:00,460041,COMMONSPIRIT - HOLY CROSS HOSPITAL - DAVIS,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/11395/680562507_holy-cross-hospital-davis_standardcharges.csv,,,Data is 1.8 days old (max age: 30),
