date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.135752+00:00,490001,NORTON COMMUNITY HOSPITAL,SKIPPED,https://www.balladhealth.org/sites/default/files/2025-04/621636465_norton-community-hospital_standardcharges.zip,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.135764+00:00,490002,RUSSELL COUNTY HOSPITAL,SKIPPED,https://www.balladhealth.org/sites/default/files/2025-01/620476282_RUSSELL-COUNTY-HOSPITAL_standardcharges.zip,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.135772+00:00,490005,VALLEY HEALTH WINCHESTER MEDICAL CENTER,SKIPPED,https://www.valleyhealthlink.com/documents/540505979_winchester-medical-center-inc_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.135781+00:00,490017,BON SECOURS MARYVIEW MEDICAL CENTER,SKIPPED,https://www.bonsecours.com/-/media/bon-secours/patients-and-visitors/corporate/pricing/540506463_maryview-hospital-llc_standardcharges.ashx,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.135788+00:00,490018,AUGUSTA HEALTH-MAIN CAMPUS,SKIPPED,https://hospitalpricedisclosure.com/Download.aspx?pxi=d6jdJrXuX3vgSYRgOlRq3w*-*&f=iFd*_*cEPwhQHJy3lVvHy9uQ*-*,,,Data is 1.2 days old (max age: 30),
2026-01-28T19:31:29.135796+00:00,490007,SENTARA NORFOLK GENERAL HOSPITAL,SKIPPED,https://www.sentara.com/Documents/s/sentaranorfolkgeneralhospitalstandardchargesxlsx-1395284,,,No scraper for format: None,
2026-01-28T19:31:29.135801+00:00,490004,SENTARA RMH MEDICAL CENTER,SKIPPED,https://www.sentara.com/Documents/s/sentararmhmedicalcenterstandardchargesxlsx-1395259,,,No scraper for format: None,
2026-01-28T19:31:29.135808+00:00,490013,SENTARA HALIFAX REGIONAL HOSPITAL,SKIPPED,https://www.sentara.com/Documents/s/sentarahalifaxregionalhospitalstandardchargesxlsx-1395297,,,No scraper for format: None,
2026-01-28T19:31:29.135814+00:00,490020,TRICITIES HOSPITAL,SKIPPED,https://www.hcadam.com/api/public/content/6ec4d6074f5941b7ac009a0dd41b5dd8?download=true,,,Data is 6.9 days old (max age: 30),
2026-01-28T19:31:29.135820+00:00,490022,MARY WASHINGTON HOSPITAL,SKIPPED,https://www.marywashingtonhealthcare.com/documents/540519577_mary-washington-hospital_standardcharges.csv,,,Data is 6.9 days old (max age: 30),
