date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.133190+00:00,340035,KAISER PERMANENTE CENTRAL HOSPITAL,SKIPPED,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/health-plan-documents/coverage-information/machine-readable/910511770-central-hospital-standard-charges-wa-en.csv,,,Data is 3.1 days old (max age: 30),
2026-01-28T19:31:29.133230+00:00,500007,ISLAND HOSPITAL,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbIHANACORTESWA&type=CDMWithoutLabel&fileType=CSV,,,Data is 3.1 days old (max age: 30),
2026-01-28T19:31:29.133240+00:00,500002,PROVIDENCE ST. MARY MEDICAL CENTER,SKIPPED,https://pricetransparency.providence.org/wamt/live/300502262_providence-st-mary-medical-center_standardcharges.json,,,Data is 3.1 days old (max age: 30),
2026-01-28T19:31:29.133248+00:00,500011,ST. ANNE HOSPITAL,SKIPPED,https://www.vmfh.org/content/dam/vmfhorg/documents/price-transparency/910712166_st-anne-hospital_standardcharges.json,,,Data is 3.1 days old (max age: 30),
2026-01-28T19:31:29.133255+00:00,500014,PROVIDENCE REGIONAL MEDICAL CENTER EVERETT,SKIPPED,https://pricetransparency.providence.org/wamt/live/352346161_providence-regional-medical-center-everett_standardcharges.json,,,Data is 3.1 days old (max age: 30),
2026-01-28T19:31:29.133261+00:00,500015,MULTICARE AUBURN MEDICAL CENTER,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/8059/911352172-1255327201_multicare-auburn-medical-center_standardcharges.csv,,,Data is 3.1 days old (max age: 30),
2026-01-28T19:31:29.133269+00:00,500019,PROVIDENCE CENTRALIA HOSPITAL,SKIPPED,https://pricetransparency.providence.org/wamt/live/910573108_providence-centralia-hospital_standardcharges.json,,,Data is 3.1 days old (max age: 30),
2026-01-28T19:31:29.133277+00:00,500024,PROVIDENCE ST. PETER HOSPITAL,SKIPPED,https://pricetransparency.providence.org/wamt/live/910567732_providence-st-peter-hospital_standardcharges.json,,,Data is 3.1 days old (max age: 30),
2026-01-28T19:31:29.133284+00:00,500025,SWEDISH MEDICAL CENTER - CHERRY HILL CAMPUS,SKIPPED,https://pricetransparency.providence.org/swedish/live/910373400_swedish-medical-center-cherry-hill_standardcharges.json,,,Data is 3.1 days old (max age: 30),
2026-01-28T19:31:29.133291+00:00,500021,ST. CLARE HOSPITAL,SKIPPED,https://www.vmfh.org/content/dam/vmfhorg/documents/price-transparency/911487485_st-clare-hospital_standardcharges.json,,,Data is 3.1 days old (max age: 30),
