date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.151974+00:00,510001,JW RUBY MEMORIAL HOSPITAL,SKIPPED,https://wvumedicine.org/wp-content/uploads/2025/04/550643304_westvirginiauniversityhospitalsinc_standardcharges432025.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.151980+00:00,510002,GREENBRIER VALLEY MEDICAL CENTER,SKIPPED,https://app.box.com/shared/static/mccwy2agpps5ere185fo6hg7oiw5wka4.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.151984+00:00,510006,UNITED HOSPITAL CENTER,SKIPPED,https://wvumedicine.org/wp-content/uploads/2025/04/550525724_unitedhospitalcenterinc_standardcharges432025.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.151988+00:00,510007,ST MARY'S MEDICAL CENTER,SKIPPED,https://www.st-marys.org/static/550357050_St-Marys-Medical-Center_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.151992+00:00,510008,BERKELEY MEDICAL CENTER,SKIPPED,https://wvumedicine.org/wp-content/uploads/2025/04/550383321_cityhospitalinc_standardcharges432025.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.151997+00:00,510012,RIVERS HEALTH REGIONAL HEALTH CENTER,SKIPPED,https://machine-readable-files.com/rivers-health/550440086_Rivers-Health_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.152001+00:00,510013,REYNOLDS MEMORIAL HOSPITAL,SKIPPED,https://wvumedicine.org/wp-content/uploads/2025/04/550357045_reynoldsmemorialhospitalinc_standardcharges432025.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.152005+00:00,510022,CHARLESTON AREA MEDICAL CENTER GENERAL HOSPITAL,SKIPPED,https://app.box.com/shared/static/y534x7a9gxod71l5foc744p7oayukztk.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.152009+00:00,510022,CHARLESTON AREA MEDICAL CENTER MEMORIAL HOSPITAL,SKIPPED,https://app.box.com/shared/static/y534x7a9gxod71l5foc744p7oayukztk.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.152013+00:00,510023,WEIRTON MEDICAL CENTER,SKIPPED,https://wvumedicine.org/wp-content/uploads/2025/12/550643304_westvirginiauniversityhospitalsinc_standardcharges-12152025.csv,,,Data is 0.1 days old (max age: 30),
2026-01-28T19:31:29.152017+00:00,510029,THOMAS MEMORIAL HOSPITAL,SKIPPED,https://wvumedicine.org/wp-content/uploads/2025/10/260440674_thomas_memorial_standardcharges432025.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.152021+00:00,510030,DAVIS MEDICAL CENTER,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/8555/550375433_davis-medical-center_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.152025+00:00,510031,SAINT FRANCIS HOSPITAL,SKIPPED,https://wvumedicine.org/wp-content/uploads/2025/10/260440674_thomas_memorial_standardcharges432025.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.152030+00:00,510024,MON HEALTH MEDICAL CENTER,FAILURE,https://monhealthmedicalcenter.pg.quadax.revenuemasters.com/cdm-files/237441353_mon-health-medical-center_standardcharges.csv,,PermanentHTTPError,Server returned 404,0.30
2026-01-28T19:31:29.152034+00:00,510046,PRINCETON COMMUNITY HOSPITAL,SKIPPED,https://wvumedicine.org/wp-content/uploads/2025/04/550483245_princetoncommunityhospitalassninc_standardcharges432025.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.152038+00:00,510048,LOGAN REGIONAL MEDICAL CENTER,SKIPPED,https://hospitalpricedisclosure.com/download.aspx?pi=ONe08OU5VouZQeeOlB0azA*-*,,,Data is 0.8 days old (max age: 30),
2026-01-28T19:31:29.152042+00:00,510050,WHEELING HOSPITAL,SKIPPED,https://wvumedicine.org/wp-content/uploads/2025/04/550357057_wheelinghospitalinc_standardcharges432025.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.152046+00:00,510038,MON HEALTH STONEWALL JACKSON HOSPITAL,FAILURE,https://stonewalljacksonhospital.pg.quadax.revenuemasters.com/cdm-files/550422958_stonewall-jackson-memorial-hospital_standardcharges.csv,,PermanentHTTPError,Server returned 404,0.27
2026-01-28T19:31:29.152051+00:00,510055,CABELL HUNTINGTON HOSPITAL,SKIPPED,https://cabellhuntington.org/static/550675666_Cabell-Huntington-Hospital-Inc_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.152055+00:00,510058,CAMDEN CLARK MEDICAL CENTER,SKIPPED,https://wvumedicine.org/wp-content/uploads/2025/04/311524546_camdenclarkmemorialhospitalcorporation_standardcharges432025.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.152059+00:00,510062,BECKLEY ARH HOSPITAL,SKIPPED,https://www.arh.org/wp-content/uploads/2025/03/520795508_Beckley-ARH-Hospital_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
2026-01-28T19:31:29.152063+00:00,510070,RALEIGH GENERAL HOSPITAL,SKIPPED,https://www.raleighgeneral.com/docs/ahraleighgeneralhospitallibraries/hcl/mrf2q25/550261260_raleigh-general-hospital_standardcharges.csv,,,Data is 8.2 days old (max age: 30),
